File Name;Song Title;Author;Year
"Calling - Wherever You Will Go.mp3";Wherever You Will Go;Calling;2002
"Benny Goodman, Benny Goodman, His Orchestra - Sing, Sing, Sing.mp3";Sing, Sing, Sing;Benny Goodman, Benny Goodman, His Orchestra;2000
"Nelly, Kelly Rowland - Dilemma.mp3";Dilemma;Nelly, Kelly Rowland;2002
"Klymaxx - I Miss You.mp3";I Miss You;Klymaxx;1986
"Ke$ha - TiK ToK.mp3";TiK ToK;Ke$ha;2010
"Katy Perry - Wide Awake.mp3";Wide Awake;Katy Perry;2012
"Alicia Keys - No One.mp3";No One;Alicia Keys;2008
"Herbie Hancock - Rockit.mp3";Rockit;Herbie Hancock;1973
"Elton John, Kiki Dee - Don't Go Breaking My Heart.mp3";Don't Go Breaking My Heart;Elton John, Kiki Dee;1976
"Rebelution - Roots Reggae Music (feat. Don Carlos).mp3";Roots Reggae Music (feat. Don Carlos);Rebelution;2006
"Canned Heat - On the Road Again.mp3";On the Road Again;Canned Heat;2005
"Joan Jett, The Blackhearts - I Love Rock N' Roll.mp3";I Love Rock N' Roll;Joan Jett, The Blackhearts;1982
"Bob Marley, The Wailers - Redemption Song.mp3";Redemption Song;Bob Marley, The Wailers;1980
"Chris Brown - Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black).mp3";Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black);Chris Brown;2017
"Kesha - Praying.mp3";Praying;Kesha;2017
"Vera Lynn - Auf Wiederseh'n, Sweetheart.mp3";Auf Wiederseh'n, Sweetheart;Vera Lynn;1952
"Nat King Cole - When I Fall In Love.mp3";When I Fall In Love;Nat King Cole;1988
"Andy Gibb - I Just Want To Be Your Everything.mp3";I Just Want To Be Your Everything;Andy Gibb;1977
"Bone Thugs-N-Harmony - Tha Crossroads.mp3";Tha Crossroads;Bone Thugs-N-Harmony;1996
"The Glenn Miller Orchestra - (I've Got a Gal In) Kalamazoo.mp3";(I've Got a Gal In) Kalamazoo;The Glenn Miller Orchestra;1942
"Patti Page - I Went To Your Wedding.mp3";I Went To Your Wedding;Patti Page;1952
"Perry Como - Catch A Falling Star - Magic Moments.mp3";Catch A Falling Star - Magic Moments;Perry Como;1958
"P!nk - What About Us (Cash Cash Remix).mp3";What About Us (Cash Cash Remix);P!nk;2017
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;1977
"Prophets of Rage - Living on the 110.mp3";Living on the 110;Prophets of Rage;2017
"Thomas Rhett - Marry Me.mp3";Marry Me;Thomas Rhett;2017
"Baauer - GoGo!.mp3";GoGo!;Baauer;2015
"REO Speedwagon - Keep On Loving You.mp3";Keep On Loving You;REO Speedwagon;1981
"McGuire Sisters - Sincerely.mp3";Sincerely;McGuire Sisters;1955
"Usher - Yeah! (feat. Lil Jon & Ludacris).mp3";Yeah! (feat. Lil Jon & Ludacris);Usher;2004
"Lizz Wright - Seems I’m Never Tired Lovin’ You.mp3";Seems I’m Never Tired Lovin’ You;Lizz Wright;2017
"Wilson Phillips - Hold On.mp3";Hold On;Wilson Phillips;1990
"Johnny Mercer, Jo Stafford - Candy.mp3";Candy;Johnny Mercer, Jo Stafford;1945
"B.B. King - The Thrill Is Gone (1969 Single Version).mp3";The Thrill Is Gone (1969 Single Version);B.B. King;1969
"Johnny Mercer - Ac-Cent-Tchu-Ate the Positive.mp3";Ac-Cent-Tchu-Ate the Positive;Johnny Mercer;1945
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;2016
"Surface - The First Time.mp3";The First Time;Surface;1991
"Bruno Mars - That’s What I Like.mp3";That’s What I Like;Bruno Mars;2016
"LeAnn Rimes - How Do I Live.mp3";How Do I Live;LeAnn Rimes;1998
"R. Kelly - I Believe I Can Fly.mp3";I Believe I Can Fly;R. Kelly;1997
"Joe feat. Mystikal - Stutter.mp3";Stutter;Joe feat. Mystikal;2001
"Ben E. King - Stand By Me.mp3";Stand By Me;Ben E. King;1961
"Temptations - My Girl.mp3";My Girl;Temptations;1965
"George Benson - Give Me the Night.mp3";Give Me the Night;George Benson;1980
"T-Pain, Yung Joc - Buy U A Drank (Shawty Snappin').mp3";Buy U A Drank (Shawty Snappin');T-Pain, Yung Joc;2007
"LMFAO - Sexy And I Know It.mp3";Sexy And I Know It;LMFAO;2012
"Ginuwine - Pony.mp3";Pony;Ginuwine;1996
"Mariah Carey - Hero.mp3";Hero;Mariah Carey;1994
"Vaughn Monroe - Riders In The Sky.mp3";Riders In The Sky;Vaughn Monroe;1949
"Eddie Murphy - Party All The Time.mp3";Party All The Time;Eddie Murphy;1986
"Kid Rock - Picture (feat. Sheryl Crow).mp3";Picture (feat. Sheryl Crow);Kid Rock;2001
"Canned Heat - Goin' Up the Country.mp3";Goin' Up the Country;Canned Heat;1973
"Jim Croce - Bad Bad Leroy Brown.mp3";Bad Bad Leroy Brown;Jim Croce;1973
"Seth MacFarlane - If I Had a Talking Picture of You (feat. Norah Jones).mp3";If I Had a Talking Picture of You (feat. Norah Jones);Seth MacFarlane;2017
"Bill Hayes - The Ballad Of Davy Crockett.mp3";The Ballad Of Davy Crockett;Bill Hayes;1955
"Mariah Carey - Always Be My Baby.mp3";Always Be My Baby;Mariah Carey;1996
"Miles Davis - So What.mp3";So What;Miles Davis;1959
"Frank Sinatra - Fly Me to the Moon.mp3";Fly Me to the Moon;Frank Sinatra;2011
"Florida Georgia Line - May We All (feat. Tim McGraw).mp3";May We All (feat. Tim McGraw);Florida Georgia Line;2016
"The Glenn Miller Orchestra - The Woodpecker Song.mp3";The Woodpecker Song;The Glenn Miller Orchestra;1940
"Macklemore, Ryan Lewis, Ray Dalton - Can't Hold Us.mp3";Can't Hold Us;Macklemore, Ryan Lewis, Ray Dalton;2013
"Mark Dinning - Teen Angel.mp3";Teen Angel;Mark Dinning;1960
"Bob Marley, The Wailers - Three Little Birds.mp3";Three Little Birds;Bob Marley, The Wailers;1977
"Tex Williams - Smoke, Smoke, Smoke That Cigarette.mp3";Smoke, Smoke, Smoke That Cigarette;Tex Williams;1947
"Khalid - 8TEEN.mp3";8TEEN;Khalid;2017
"Paul McCartney - Coming Up.mp3";Coming Up;Paul McCartney;1980
"Kay Starr - Rock And Roll Waltz.mp3";Rock And Roll Waltz;Kay Starr;1956
"Kane Brown - Found You.mp3";Found You;Kane Brown;2017
"Popcaan - Bad Yuh Bad.mp3";Bad Yuh Bad;Popcaan;2017
"Ace Of Base - Don't Turn Around.mp3";Don't Turn Around;Ace Of Base;1994
"Freda Payne - Band Of Gold.mp3";Band Of Gold;Freda Payne;1970
"Brett Eldredge - The Long Way.mp3";The Long Way;Brett Eldredge;2017
"Hundred Waters - Show Me Love (Skrillex Remix) (feat. Chance The Rapper, Moses Sumney and Robin Hannibal).mp3";Show Me Love (Skrillex Remix) (feat. Chance The Rapper, Moses Sumney and Robin Hannibal);Hundred Waters;2016
"Al Green - Let's Stay Together.mp3";Let's Stay Together;Al Green;1972
"Billie Holiday - I'll Be Seeing You.mp3";I'll Be Seeing You;Billie Holiday;1965
"Boyz II Men - On Bended Knee.mp3";On Bended Knee;Boyz II Men;1995
"Box Tops - The Letter.mp3";The Letter;Box Tops;1967
"Edwin Starr - War.mp3";War;Edwin Starr;1970
"Young Money feat. Lloyd - Bedrock.mp3";Bedrock;Young Money feat. Lloyd;2010
"Sammy Kaye - Harbor Lights.mp3";Harbor Lights;Sammy Kaye;1950
"Herb Alpert, The Tijuana Brass - This Guy's in Love with You.mp3";This Guy's in Love with You;Herb Alpert, The Tijuana Brass;1962
"Bob Marley, The Wailers - Buffalo Soldier.mp3";Buffalo Soldier;Bob Marley, The Wailers;1983
"Bob Marley, The Wailers - No Woman, No Cry (Live 1975).mp3";No Woman, No Cry (Live 1975);Bob Marley, The Wailers;1975
"Brett Young - In Case You Didn't Know.mp3";In Case You Didn't Know;Brett Young;2016
"Gotye, Kimbra - Somebody That I Used To Know.mp3";Somebody That I Used To Know;Gotye, Kimbra;2012
"BTS - MIC Drop.mp3";MIC Drop;BTS;2017
"Bon Jovi - Livin' On A Prayer.mp3";Livin' On A Prayer;Bon Jovi;1987
"Jessie J - Think About That.mp3";Think About That;Jessie J;2017
"LMFAO, Lauren Bennett, GoonRock - Party Rock Anthem.mp3";Party Rock Anthem;LMFAO, Lauren Bennett, GoonRock;2011
"Lafayette Gilchrist - Assume the Position.mp3";Assume the Position;Lafayette Gilchrist;2013
"Kay Starr - Wheel Of Fortune.mp3";Wheel Of Fortune;Kay Starr;1952
"John Cougar - Hurts So Good.mp3";Hurts So Good;John Cougar;1982
"Neil Diamond - Sweet Caroline.mp3";Sweet Caroline;Neil Diamond;1969
"Timmy T - One More Try.mp3";One More Try;Timmy T;1991
"Skrillex - Breathe (Krewella Vocal Edit).mp3";Breathe (Krewella Vocal Edit);Skrillex;2011
"Aidonia - Yeah Yeah.mp3";Yeah Yeah;Aidonia;2017
"Highly Suspect - Little One.mp3";Little One;Highly Suspect;2016
"Wilbert Harrison - Kansas City.mp3";Kansas City;Wilbert Harrison;1959
"Jimmy Jones - Handy Man.mp3";Handy Man;Jimmy Jones;1960
"Harry James, His Orchestra - I'll Get by (As Long As I Have You).mp3";I'll Get by (As Long As I Have You);Harry James, His Orchestra;1944
"Jon Pardi - Heartache on the Dance Floor.mp3";Heartache on the Dance Floor;Jon Pardi;2016
"Brad Paisley - Last Time for Everything.mp3";Last Time for Everything;Brad Paisley;2017
"Nothing More - Go to War.mp3";Go to War;Nothing More;2017
"Michael Jackson - Rock With You.mp3";Rock With You;Michael Jackson;1980
"Louis Armstrong, Ella Fitzgerald - Summertime.mp3";Summertime;Louis Armstrong, Ella Fitzgerald;1957
"Prince - When Doves Cry.mp3";When Doves Cry;Prince;1984
"The Weeknd - Earned It (Fifty Shades of Grey).mp3";Earned It (Fifty Shades of Grey);The Weeknd;2015
"John Lennon - (Just Like) Starting Over.mp3";(Just Like) Starting Over;John Lennon;1981
"Mac Davis - One Hell Of A Woman.mp3";One Hell Of A Woman;Mac Davis;1974
"Staind - It's Been Awhile.mp3";It's Been Awhile;Staind;2001
"Dustin Lynch - Love Me or Leave Me Alone (feat. Karen Fairchild).mp3";Love Me or Leave Me Alone (feat. Karen Fairchild);Dustin Lynch;2017
"James Arthur - Say You Won't Let Go.mp3";Say You Won't Let Go;James Arthur;2016
"Vaughn Monroe - I Wish I Didn't Love You So.mp3";I Wish I Didn't Love You So;Vaughn Monroe;1947
"Common Kings - Cali Girl (feat. Don Corleon).mp3";Cali Girl (feat. Don Corleon);Common Kings;2017
"Farrah Abraham - The Phone Call that Changed My Life.mp3";The Phone Call that Changed My Life;Farrah Abraham;2012
"Men At Work - Down Under.mp3";Down Under;Men At Work;1983
"Aaron Neville - Tell It Like It Is.mp3";Tell It Like It Is;Aaron Neville;2007
"Tracy Chapman - Give Me One Reason.mp3";Give Me One Reason;Tracy Chapman;1996
"Savage Garden - Truly Madly Deeply.mp3";Truly Madly Deeply;Savage Garden;1998
"Gary Moore - Still Got the Blues.mp3";Still Got the Blues;Gary Moore;1990
"Scotty McCreery - Five More Minutes.mp3";Five More Minutes;Scotty McCreery;2017
"BTS - dimple.mp3";dimple;BTS;2017
"Commodores - Three Times A Lady.mp3";Three Times A Lady;Commodores;1978
"Johnny Horton - The Battle Of New Orleans.mp3";The Battle Of New Orleans;Johnny Horton;1959
"J. Geils Band - Centerfold.mp3";Centerfold;J. Geils Band;1982
"Elvis Presley - It's Now Or Never.mp3";It's Now Or Never;Elvis Presley;1960
"Perry Como - No Other Love.mp3";No Other Love;Perry Como;1953
"Frankie Valli - Can't Take My Eyes Off You.mp3";Can't Take My Eyes Off You;Frankie Valli;1967
"UB40 - Can't Help Falling In Love.mp3";Can't Help Falling In Love;UB40;1993
"Kay Kyser, His Orchestra - Jingle Jangle Jingle.mp3";Jingle Jangle Jingle;Kay Kyser, His Orchestra;1942
"Nat King Cole, Natalie Cole - Unforgettable.mp3";Unforgettable;Nat King Cole, Natalie Cole;1951
"Inner Circle - Bad Boys (Theme from COPS).mp3";Bad Boys (Theme from COPS);Inner Circle;1990
"Taylor Swift feat. Kendrick Lamar - Bad Blood.mp3";Bad Blood;Taylor Swift feat. Kendrick Lamar;2015
"Robert Palmer - Addicted To Love.mp3";Addicted To Love;Robert Palmer;1986
"Def Leppard - Pour Some Sugar On Me (2012 Re-Recorded Version).mp3";Pour Some Sugar On Me (2012 Re-Recorded Version);Def Leppard;1987
"Paula Abdul - Rush Rush.mp3";Rush Rush;Paula Abdul;1991
"Herb Alpert - This Guy's In Love With You.mp3";This Guy's In Love With You;Herb Alpert;1968
"Glen Campbell - Rhinestone Cowboy.mp3";Rhinestone Cowboy;Glen Campbell;1975
"Khalid - Location (Remix) [feat. Lil Wayne & Kehlani].mp3";Location (Remix) [feat. Lil Wayne & Kehlani];Khalid;2017
"Rosemary Clooney - Hey There.mp3";Hey There;Rosemary Clooney;1954
"Ella Fitzgerald, Louis Armstrong - Dream a Little Dream of Me (Single Version).mp3";Dream a Little Dream of Me (Single Version);Ella Fitzgerald, Louis Armstrong;1950
"Mark Morrison - Return Of The Mack.mp3";Return Of The Mack;Mark Morrison;1997
"Beatles - She Loves You.mp3";She Loves You;Beatles;1964
"Akon - Don't Matter.mp3";Don't Matter;Akon;2007
"Lumineers - Ho Hey.mp3";Ho Hey;Lumineers;2013
"Mama's , The Papa's - Monday, Monday.mp3";Monday, Monday;Mama's , The Papa's;1966
"4 Non Blondes - What's Up.mp3";What's Up;4 Non Blondes;1992
"Kranium - Can't Believe (feat. Ty Dolla $ign & WizKid).mp3";Can't Believe (feat. Ty Dolla $ign & WizKid);Kranium;2017
"Ciara, Missy Elliott - 1, 2 Step.mp3";1, 2 Step;Ciara, Missy Elliott;2005
"Khalid - Location.mp3";Location;Khalid;2016
"Raiders - Indian Reservation.mp3";Indian Reservation;Raiders;1971
"Bobby Goldsboro - Honey.mp3";Honey;Bobby Goldsboro;1968
"Lady Gaga - Poker Face.mp3";Poker Face;Lady Gaga;2009
"Bobby Vinton - Blue Velvet.mp3";Blue Velvet;Bobby Vinton;1963
"Four Tops - I Can't Help Myself (Sugar Pie Honey Bunch).mp3";I Can't Help Myself (Sugar Pie Honey Bunch);Four Tops;1965
"Tommy Edwards - It's All In The Game.mp3";It's All In The Game;Tommy Edwards;1958
"A Taste Of Honey - Boogie Oogie Oogie.mp3";Boogie Oogie Oogie;A Taste Of Honey;1978
"Usher - U Remind Me.mp3";U Remind Me;Usher;2001
"Tag Team - Whoomp! (There It Is).mp3";Whoomp! (There It Is);Tag Team;1993
"BTS - Pied Piper.mp3";Pied Piper;BTS;2017
"Skeeter Davis - The End Of The World.mp3";The End Of The World;Skeeter Davis;1963
"Ja Rule feat. Ashanti - Always on Time.mp3";Always on Time;Ja Rule feat. Ashanti;2002
"Jennifer Lopez, Ja Rule - I'm Real.mp3";I'm Real;Jennifer Lopez, Ja Rule;2001
"Frank Sinatra - Five Minutes More.mp3";Five Minutes More;Frank Sinatra;1946
"Rita Coolidge - (Your Love Has Lifted Me) Higher And Higher.mp3";(Your Love Has Lifted Me) Higher And Higher;Rita Coolidge;1977
"Toni Braxton - Deadwood.mp3";Deadwood;Toni Braxton;2017
"Carly Simon - You're So Vain.mp3";You're So Vain;Carly Simon;1973
"Perez Prado - Patricia.mp3";Patricia;Perez Prado;1958
"Kenny Nolan - I Like Dreamin'.mp3";I Like Dreamin';Kenny Nolan;1977
"Taylor Swift - Shake It Off.mp3";Shake It Off;Taylor Swift;2014
"Marilyn Manson - WE KNOW WHERE YOU FUCKING LIVE.mp3";WE KNOW WHERE YOU FUCKING LIVE;Marilyn Manson;2017
"Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals).mp3";Back to You (feat. Bebe Rexha & Digital Farm Animals);Louis Tomlinson;2017
"Louis Jordan - G.I. Jive.mp3";G.I. Jive;Louis Jordan;1944
"Miranda Lambert - Tin Man.mp3";Tin Man;Miranda Lambert;2016
"Backstreet Boys - Quit Playing Games (With My Heart).mp3";Quit Playing Games (With My Heart);Backstreet Boys;1997
"Walter Trout - We're All In This Together (feat. Joe Bonamassa).mp3";We're All In This Together (feat. Joe Bonamassa);Walter Trout;2017
"Damian Jr. Gong Marley - Medication (feat. Stephen Marley).mp3";Medication (feat. Stephen Marley);"Damian ""Jr. Gong"" Marley";2017
"Matisyahu - King Without a Crown.mp3";King Without a Crown;Matisyahu;2006
"Lipps, Inc. - Funkytown.mp3";Funkytown;Lipps, Inc.;1980
"Montell Jordan - This Is How We Do It.mp3";This Is How We Do It;Montell Jordan;1995
"Elvis Presley Don't  I Beg Of You 1958.mp3";Don't / I Beg Of You;Elvis Presley;1958
"Perry Como - Till the End of Time.mp3";Till the End of Time;Perry Como;1945
"Celine Dion - Because You Loved Me.mp3";Because You Loved Me;Celine Dion;1996
"Thomas Rhett - Life Changes.mp3";Life Changes;Thomas Rhett;2017
"Wayne Newton - Daddy Don't You Walk So Fast.mp3";Daddy Don't You Walk So Fast;Wayne Newton;1972
"Elton John - Candle In The Wind 1997 - Something About The Way You Look Tonight.mp3";Candle In The Wind 1997 / Something About The Way You Look Tonight;Elton John;1997
"Les Paul, Mary Ford - How High The Moon.mp3";How High The Moon;Les Paul, Mary Ford;1951
"Olivia Newton-John - Magic.mp3";Magic;Olivia Newton-John;1980
"Ray Parker Jr. - Ghostbusters.mp3";Ghostbusters;Ray Parker Jr.;1984
"George Michael - Faith.mp3";Faith;George Michael;1988
"Four Seasons - December, 1963 (Oh, What A Night).mp3";December, 1963 (Oh, What A Night);Four Seasons;1976
"Simon, Garfunkel - Bridge Over Troubled Water.mp3";Bridge Over Troubled Water;Simon, Garfunkel;1970
"Frankie Carle - Rumors Are Flying.mp3";Rumors Are Flying;Frankie Carle;1946
"Jimmy Eat World - The Middle.mp3";The Middle;Jimmy Eat World;2002
"Player - Baby Come Back.mp3";Baby Come Back;Player;1978
"Midland - Drinkin' Problem.mp3";Drinkin' Problem;Midland;2016
"Roy Orbison - Cryin'.mp3";Cryin';Roy Orbison;1961
"Association - Cherish.mp3";Cherish;Association;1966
"Rick Springfield - Jessie's Girl.mp3";Jessie's Girl;Rick Springfield;1981
"U2, Kygo - You're the Best Thing About Me (U2 vs. Kygo).mp3";You're the Best Thing About Me (U2 vs. Kygo);U2, Kygo;2017
"Sam Smith - Too Good at Goodbyes.mp3";Too Good at Goodbyes;Sam Smith;2017
"Del Shannon - Runaway.mp3";Runaway;Del Shannon;1961
"Old Dominion - Written in the Sand.mp3";Written in the Sand;Old Dominion;2017
"Walker Hayes - You Broke Up with Me.mp3";You Broke Up with Me;Walker Hayes;2017
"Rosemary Clooney - Half As Much.mp3";Half As Much;Rosemary Clooney;1952
"Andy Gibb - Shadow Dancing.mp3";Shadow Dancing;Andy Gibb;1978
"Grace VanderWaal - Moonlight.mp3";Moonlight;Grace VanderWaal;2017
"John Legend All Of Me.mp3";All Of Me;John Legend;2014
"The Glenn Miller Orchestra - You and I.mp3";You and I;The Glenn Miller Orchestra;1941
"Madonna - Like A Virgin.mp3";Like A Virgin;Madonna;1985
"U2 - You’re the Best Thing About Me.mp3";You’re the Best Thing About Me;U2;2017
"Kaskade - 4 AM (Adam K and Soha Mix).mp3";4 AM (Adam K and Soha Mix);Kaskade;2008
"Justin Bieber - Beauty and a Beat (feat. Nicki Minaj).mp3";Beauty and a Beat (feat. Nicki Minaj);Justin Bieber;2012
"Nelly, P. Diddy, Murphy Lee - Shake Ya Tailfeather.mp3";Shake Ya Tailfeather;Nelly, P. Diddy, Murphy Lee;2003
"Mariah Carey - Fantasy.mp3";Fantasy;Mariah Carey;1995
"Dean Martin - Return To Me.mp3";Return To Me;Dean Martin;1958
"Rihanna - Rude Boy.mp3";Rude Boy;Rihanna;2010
"Konshens - Bruk Off Yuh Back.mp3";Bruk Off Yuh Back;Konshens;2016
"blackbear - do re mi (feat. Gucci Mane).mp3";do re mi (feat. Gucci Mane);blackbear;2017
"Wolfgang Gartner - Illmerica.mp3";Illmerica;Wolfgang Gartner;2010
"Britney Spears - ...Baby One More Time.mp3";...Baby One More Time;Britney Spears;1999
"Monkees - I'm A Believer.mp3";I'm A Believer;Monkees;1967
"Kelly Clarkson - Move You.mp3";Move You;Kelly Clarkson;2017
"Leona Lewis - Bleeding Love.mp3";Bleeding Love;Leona Lewis;2008
"Alan O'Day - Undercover Angel.mp3";Undercover Angel;Alan O'Day;1977
"Cassie - Me and U.mp3";Me and U;Cassie;2006
"Johnny Preston - Running Bear.mp3";Running Bear;Johnny Preston;1960
"Freddy Fender - Before The Next Teardrop Falls.mp3";Before The Next Teardrop Falls;Freddy Fender;1975
"Flo Rida feat. Sia - Wild Ones.mp3";Wild Ones;Flo Rida feat. Sia;2012
"Elvis Presley - Don't Be Cruel.mp3";Don't Be Cruel;Elvis Presley;1956
"Rolling Stones - (I Can't Get No) Satisfaction.mp3";(I Can't Get No) Satisfaction;Rolling Stones;1965
"Kings Of Leon - Use Somebody.mp3";Use Somebody;Kings Of Leon;2009
"Pink Floyd - Another Brick In The Wall.mp3";Another Brick In The Wall;Pink Floyd;1980
"Little Big Town - When Someone Stops Loving You.mp3";When Someone Stops Loving You;Little Big Town;2017
"C+C Music Factory - Gonna Make You Sweat (Everybody Dance Now).mp3";Gonna Make You Sweat (Everybody Dance Now);C+C Music Factory;1991
"Lady Antebellum - Need You Now.mp3";Need You Now;Lady Antebellum;2010
"Georgia Gibbs - Dance With Me Henry.mp3";Dance With Me Henry;Georgia Gibbs;1955
"Queen - Don't Stop Me Now.mp3";Don't Stop Me Now;Queen;1978
"Queen - Bohemian Rhapsody.mp3";Bohemian Rhapsody;Queen;1975
"Harry James, His Orchestra - I'm Beginning to See the Light.mp3";I'm Beginning to See the Light;Harry James, His Orchestra;1945
"Jimmy Dorsey, His Orchestra - Tangerine.mp3";Tangerine;Jimmy Dorsey, His Orchestra;1942
"Daniel Caesar - Get You (feat. Kali Uchis).mp3";Get You (feat. Kali Uchis);Daniel Caesar;2016
"Mitch Miller - The Yellow Rose Of Texas.mp3";The Yellow Rose Of Texas;Mitch Miller;1955
"Bee Gees - Night Fever.mp3";Night Fever;Bee Gees;1978
"Bee Gees - Stayin' Alive.mp3";Stayin' Alive;Bee Gees;1978
"Al Martino - Here In My Heart.mp3";Here In My Heart;Al Martino;1952
"Stick Figure - Sound of the Sea.mp3";Sound of the Sea;Stick Figure;2015
"Sam The Sham, The Pharaohs - Wooly Bully.mp3";Wooly Bully;Sam The Sham, The Pharaohs;1965
"RL Grime, What So Not - Tell Me.mp3";Tell Me;RL Grime, What So Not;2014
"Joe Bonamassa, Beth Hart - I'd Rather Go Blind.mp3";I'd Rather Go Blind;Joe Bonamassa, Beth Hart;2011
"Carly Rae Jepsen - Call Me Maybe.mp3";Call Me Maybe;Carly Rae Jepsen;2012
"Chris Brown - Party (feat. Gucci Mane & Usher).mp3";Party (feat. Gucci Mane & Usher);Chris Brown;2016
"Duck Sauce - Barbra Streisand.mp3";Barbra Streisand;Duck Sauce;2010
"The,rews Sisters - Rum and Coca-Cola.mp3";Rum and Coca-Cola;The,rews Sisters;1945
"Luke Bryan - Light It Up.mp3";Light It Up;Luke Bryan;2017
"Rebelution - Pretty Lady.mp3";Pretty Lady;Rebelution;2016
"Niall Horan - Too Much to Ask.mp3";Too Much to Ask;Niall Horan;2017
"Kelsea Ballerini - Legends.mp3";Legends;Kelsea Ballerini;2017
"Ink Spots - The Gypsy.mp3";The Gypsy;Ink Spots;1946
"Dire Straits - Money For Nothing.mp3";Money For Nothing;Dire Straits;1985
"Billy Joel - Piano Man.mp3";Piano Man;Billy Joel;1973
"Patti Labelle, Michael McDonald - On My Own.mp3";On My Own;Patti Labelle, Michael McDonald;1986
"OutKast, Sleepy Brown - The Way You Move.mp3";The Way You Move;OutKast, Sleepy Brown;2004
"Red Hot Chili Peppers - Under The Bridge.mp3";Under The Bridge;Red Hot Chili Peppers;1992
"Johnny Rivers - Poor Side Of Town.mp3";Poor Side Of Town;Johnny Rivers;1966
"Akon feat. Eminem - Smack That.mp3";Smack That;Akon feat. Eminem;2007
"Highwaymen - Michael.mp3";Michael;Highwaymen;1961
"George Harrison - Got My Mind Set On You.mp3";Got My Mind Set On You;George Harrison;1988
"Terry Jacks - Seasons In The Sun.mp3";Seasons In The Sun;Terry Jacks;1974
"Justin Bieber - Love Yourself.mp3";Love Yourself;Justin Bieber;2016
"Rod Stewart - Maggie May  (Find A) Reason To Believe.mp3";Maggie May / (Find A) Reason To Believe;Rod Stewart;1971
"John Denver - Take Me Home, Country Roads.mp3";Take Me Home, Country Roads;John Denver;1971
"Lil Wayne, Static Major - Lollipop.mp3";Lollipop;Lil Wayne, Static Major;2008
"Doors - Light My Fire.mp3";Light My Fire;Doors;1967
"TLC - No Scrubs.mp3";No Scrubs;TLC;1999
"Dinah Shore - I'll Walk Alone.mp3";I'll Walk Alone;Dinah Shore;1944
"Guy Mitchell - Singing The Blues.mp3";Singing The Blues;Guy Mitchell;1957
"Anita Baker - Giving You The Best That I Got.mp3";Giving You The Best That I Got;Anita Baker;1989
"MAJOR. - Why I Love You.mp3";Why I Love You;MAJOR.;2016
"Avril Lavigne - Girlfriend.mp3";Girlfriend;Avril Lavigne;2007
"Glenn Miller, His Orchestra - Moonlight Serenade.mp3";Moonlight Serenade;Glenn Miller, His Orchestra;1972
"Frank Sinatra - Oh! What It Seemed To Be.mp3";Oh! What It Seemed To Be;Frank Sinatra;1946
"Boney James - Tick Tock.mp3";Tick Tock;Boney James;2017
