"Kane Brown - What Ifs (feat. Lauren Alaina).mp3";What Ifs (feat. Lauren Alaina);Kane Brown;m
"Sam Hunt - Body Like a Back Road.mp3";Body Like a Back Road;Sam Hunt;m
"Thomas Rhett - Unforgettable.mp3";Unforgettable;Thomas Rhett;m
"Luke Combs - When It Rains It Pours.mp3";When It Rains It Pours;Luke Combs;m
"Dustin Lynch - Small Town Boy.mp3";Small Town Boy;Dustin Lynch;m
"LANCO - Greatest Love Story.mp3";Greatest Love Story;LANCO;m+
"Blake Shelton - I'll Name the Dogs.mp3";I'll Name the Dogs;Blake Shelton;m
"Jon Pardi - Heartache on the Dance Floor.mp3";Heartache on the Dance Floor;Jon Pardi;m
"Montgomery Gentry - Better Me.mp3";Better Me;Montgomery Gentry;m+
"Carly Pearce - Every Little Thing.mp3";Every Little Thing;Carly Pearce;f
"Thomas Rhett - Craving You (feat. Maren Morris).mp3";Craving You (feat. Maren Morris);Thomas Rhett;m
"Brett Young - In Case You Didn't Know.mp3";In Case You Didn't Know;Brett Young;m
"Brett Young - Like I Loved You.mp3";Like I Loved You;Brett Young;m
"Brothers Osborne - It Ain't My Fault.mp3";It Ain't My Fault;Brothers Osborne;m+
"Midland - Drinkin' Problem.mp3";Drinkin' Problem;Midland;m+
"Luke Bryan - Light It Up.mp3";Light It Up;Luke Bryan;m
"Kenny Chesney - All the Pretty Girls.mp3";All the Pretty Girls;Kenny Chesney;m
"Chris Stapleton - Tennessee Whiskey.mp3";Tennessee Whiskey;Chris Stapleton;m
"Little Big Town - When Someone Stops Loving You.mp3";When Someone Stops Loving You;Little Big Town;M+F
"Chris Janson - Fix a Drink.mp3";Fix a Drink;Chris Janson;m
"Miranda Lambert - Tin Man.mp3";Tin Man;Miranda Lambert;f
"Luke Combs - Hurricane.mp3";Hurricane;Luke Combs;m
"Maren Morris - I Could Use a Love Song.mp3";I Could Use a Love Song;Maren Morris;f
"Kane Brown - Found You.mp3";Found You;Kane Brown;m
"Thomas Rhett - Marry Me.mp3";Marry Me;Thomas Rhett;m
"Old Dominion - No Such Thing as a Broken Heart.mp3";No Such Thing as a Broken Heart;Old Dominion;m+
"Florida Georgia Line - Smooth.mp3";Smooth;Florida Georgia Line;m+
"Walker Hayes - You Broke Up with Me.mp3";You Broke Up with Me;Walker Hayes;m
"Chris Stapleton - Broken Halos.mp3";Broken Halos;Chris Stapleton;m
"Keith Urban - The Fighter (feat. Carrie Underwood).mp3";The Fighter (feat. Carrie Underwood);Keith Urban;m
"Krewella - Enjoy the Ride.mp3";Enjoy the Ride;Krewella;f+
"Dada Life - Kickout the Epic Motherfucker.mp3";Kickout the Epic Motherfucker;Dada Life;m+
"David Guetta - Without You (feat. Usher).mp3";Without You (feat. Usher);David Guetta;m
"Major Lazer, DJ Snake - Lean On (feat. MØ).mp3";Lean On (feat. MØ);Major Lazer, DJ Snake;m+
"The Chainsmokers - Closer (feat. Halsey).mp3";Closer (feat. Halsey);The Chainsmokers;m+
"Dillon Francis, Diplo - Que Que (feat. Maluca).mp3";Que Que (feat. Maluca);Dillon Francis, Diplo;m+
"Rustie - First Mythz.mp3";First Mythz;Rustie;m
"Afrojack - Take Over Control (feat. Eva Simons).mp3";Take Over Control (feat. Eva Simons);Afrojack;m
"Lil Jon - Outta Your Mind (feat. LMFAO).mp3";Outta Your Mind (feat. LMFAO);Lil Jon;m
"Kid Cudi - Pursuit Of Happiness (Steve Aoki Remix).mp3";Pursuit Of Happiness (Steve Aoki Remix);Kid Cudi;m
"Sleepy Tom, Anna Lunoe - Pusher.mp3";Pusher;Sleepy Tom, Anna Lunoe;M+F
"The Bloody Beetroots - Warp 1.9 (feat. Steve Aoki).mp3";Warp 1.9 (feat. Steve Aoki);The Bloody Beetroots;m+
"Madeon - Finale.mp3";Finale;Madeon;m
"Calvin Harris, Rihanna - We Found Love.mp3";We Found Love;Calvin Harris, Rihanna;M+F
"REZZ - Edge.mp3";Edge;REZZ;f
"Porter Robinson, Madeon - Shelter (Slushii Remix).mp3";Shelter (Slushii Remix);Porter Robinson, Madeon;m+
"deadmau5 - Raise Your Weapon.mp3";Raise Your Weapon;deadmau5;m
"Nero - Dark Skies.mp3";Dark Skies;Nero;M+F
"TNGHT - Higher Ground.mp3";Higher Ground;TNGHT;m+
"Kanye West - Mercy (RL Grime & Salva Remix).mp3";Mercy (RL Grime & Salva Remix);Kanye West;m
"Cashmere Cat - Mirror Maru.mp3";Mirror Maru;Cashmere Cat;f
"Major Lazer - Pon De Floor (feat. Vybz Kartel).mp3";Pon De Floor (feat. Vybz Kartel);Major Lazer;m+
"Marshmello - Alone.mp3";Alone;Marshmello;m
"Porter Robinson - Sad Machine.mp3";Sad Machine;Porter Robinson;m
"Jack U - Where Are U Now (feat. Justin Bieber).mp3";Where Are U Now (feat. Justin Bieber);Jack U;m+
"Justice - D.A.N.C.E..mp3";D.A.N.C.E.;Justice;m+
"Flux Pavilion - Bass Cannon.mp3";Bass Cannon;Flux Pavilion;m
"Britney Spears - Till the World Ends.mp3";Till the World Ends;Britney Spears;f
"Avicii - Levels.mp3";Levels;Avicii;m
"Skrillex - Scary Monsters and Nice Sprites.mp3";Scary Monsters and Nice Sprites;Skrillex;m
"The Notorious B.I.G. - Hypnotize.mp3";Hypnotize;The Notorious B.I.G.;m
"LL Cool J - Mama Said Knock You Out.mp3";Mama Said Knock You Out;LL Cool J;m
"Eminem - Lose Yourself.mp3";Lose Yourself;Eminem;m
"Craig Mack, Rampage, the Notorious B.I.G., LL Cool J, Busta Rhymes - Flava in Ya Ear (Remix).mp3";Flava in Ya Ear (Remix);Craig Mack, Rampage,  the Notorious B.I.G.,   LL Cool J,  Busta Rhymes;m+
"A Tribe Called Quest, Leaders of the New School - Scenario.mp3";Scenario;A Tribe Called Quest, Leaders of the New School;m+
"Big Daddy Kane - Ain't No Half-Steppin'.mp3";Ain't No Half-Steppin';Big Daddy Kane;m
"Rob Base, DJ E-Z Rock - It Takes Two.mp3";It Takes Two;Rob Base, DJ E-Z Rock;m+
"Eric B., Rakim - I Know You Got Soul.mp3";I Know You Got Soul;Eric B., Rakim;m+
"EPMD - Strictly Business.mp3";Strictly Business;EPMD;m+
"LL Cool J - Rock the Bells.mp3";Rock the Bells;LL Cool J;m
"50 Cent - In Da Club.mp3";In Da Club;50 Cent;m
"Beastie Boys - Paul Revere.mp3";Paul Revere;Beastie Boys;m+
"2Pac - Dear Mama.mp3";Dear Mama;2Pac;m
"Run-DMC - Peter Piper.mp3";Peter Piper;Run-DMC;m+
"Jay Z, UGK - Big Pimpin'.mp3";Big Pimpin';Jay Z, UGK;m+
"N.W.A - Fuck tha Police.mp3";Fuck tha Police;N.W.A;m+
"Public Enemy - Rebel Without a Pause.mp3";Rebel Without a Pause;Public Enemy;m+
"Doug E. Fresh, Slick Rick - La-Di-Da-Di.mp3";La-Di-Da-Di;Doug E. Fresh, Slick Rick;m+
"Pete Rock, C.L. Smooth - They Reminisce Over You (T.R.O.Y.).mp3";They Reminisce Over You (T.R.O.Y.);Pete Rock, C.L. Smooth;m+
"Wu-Tang Clan - C.R.E.A.M..mp3";C.R.E.A.M.;Wu-Tang Clan;m+
"Eric B., Rakim - Paid in Full.mp3";Paid in Full;Eric B., Rakim;m+
"N.W.A - Straight Outta Compton.mp3";Straight Outta Compton;N.W.A;m+
"The Notorious B.I.G. - Juicy.mp3";Juicy;The Notorious B.I.G.;m
"Public Enemy - Fight the Power.mp3";Fight the Power;Public Enemy;m+
"Dr. Dre, Snoop Doggy Dogg - Nuthin' but a 'G' Thang.mp3";Nuthin' but a 'G' Thang;Dr. Dre, Snoop Doggy Dogg;m+
"Geto Boys - Mind Playing Tricks on Me.mp3";Mind Playing Tricks on Me;Geto Boys;m+
"Run-DMC - Sucker M.C.'s.mp3";Sucker M.C.'s;Run-DMC;m+
"Afrika Bambaataa, the Soulsonic Force - Planet Rock.mp3";Planet Rock;Afrika Bambaataa, the Soulsonic Force;m+
"Sugarhill Gang - Rapper's Delight.mp3";Rapper's Delight;Sugarhill Gang;m+
"Grandmaster Flash, the Furious Five - The Message.mp3";The Message;Grandmaster Flash, the Furious Five;m+
"Las Vegas Big Band - It's Only You That I Love.mp3";It's Only You That I Love;Las Vegas Big Band;m+
"Scott Bradlee's Postmodern Jukebox - Creep (feat. Haley Reinhart).mp3";Creep (feat. Haley Reinhart);Scott Bradlee's Postmodern Jukebox;M+F
"Us3 - Cantaloop (Flip Fantasia).mp3";Cantaloop (Flip Fantasia);Us3;m+
"Lizz Wright - Seems I’m Never Tired Lovin’ You.mp3";Seems I’m Never Tired Lovin’ You;Lizz Wright;f
"Seth MacFarlane - If I Had a Talking Picture of You (feat. Norah Jones).mp3";If I Had a Talking Picture of You (feat. Norah Jones);Seth MacFarlane;m
"Nat King Cole - When I Fall In Love.mp3";When I Fall In Love;Nat King Cole;m
"Glenn Miller, His Orchestra - Moonlight Serenade.mp3";Moonlight Serenade;Glenn Miller, His Orchestra;M+F
"Herb Alpert, The Tijuana Brass - Spanish Flea.mp3";Spanish Flea;Herb Alpert, The Tijuana Brass;f+
"Gregory Porter - Insanity (feat. Lalah Hathaway).mp3";Insanity (feat. Lalah Hathaway);Gregory Porter;m
"James Ingram, Patti Austin, Quincy Jones - Baby, Come to Me.mp3";Baby, Come to Me;James Ingram, Patti Austin, Quincy Jones;M+F
"Frank Sinatra - Young At Heart.mp3";Young At Heart;Frank Sinatra;m
"Lizz Wright - Southern Nights.mp3";Southern Nights;Lizz Wright;f
"Louis Armstrong - A Kiss to Build a Dream On (Single Version).mp3";A Kiss to Build a Dream On (Single Version);Louis Armstrong;m
"George Benson - On Broadway.mp3";On Broadway;George Benson;m
"Billie Holiday - I'll Be Seeing You.mp3";I'll Be Seeing You;Billie Holiday;f
"George Benson - Turn Your Love Around.mp3";Turn Your Love Around;George Benson;m
"Jonathan Fritzen - Let It Go.mp3";Let It Go;Jonathan Fritzen;m
"Louis Armstrong, Ella Fitzgerald - Summertime.mp3";Summertime;Louis Armstrong, Ella Fitzgerald;M+F
"Herbie Hancock - Rockit.mp3";Rockit;Herbie Hancock;m
"John Coltrane, Duke Ellington - In a Sentimental Mood.mp3";In a Sentimental Mood;John Coltrane, Duke Ellington;m+
"George Benson - Breezin'.mp3";Breezin';George Benson;m
"Quincy Jones - Sanford and Son Theme (The Streetbeater).mp3";Sanford and Son Theme (The Streetbeater);Quincy Jones;m
"Miles Davis - So What.mp3";So What;Miles Davis;m
"Herb Alpert, The Tijuana Brass - The Lonely Bull (El Solo Toro).mp3";The Lonely Bull (El Solo Toro);Herb Alpert, The Tijuana Brass;f+
"Lafayette Gilchrist - Assume the Position.mp3";Assume the Position;Lafayette Gilchrist;m+
"Scott Joplin - The Entertainer.mp3";The Entertainer;Scott Joplin;m
"George Benson - This Masquerade.mp3";This Masquerade;George Benson;m
"Quincy Jones - Just Once.mp3";Just Once;Quincy Jones;m
"Scott Bradlee's Postmodern Jukebox - Seven Nation Army (feat. Haley Reinhart).mp3";Seven Nation Army (feat. Haley Reinhart);Scott Bradlee's Postmodern Jukebox;M+F
"Frank Sinatra - My Way.mp3";My Way;Frank Sinatra;m
"Taylor Swift - Look What You Made Me Do.mp3";Look What You Made Me Do;Taylor Swift;f
"Taylor Swift - ...Ready For It .mp3";...Ready For It?;Taylor Swift;f
"Sam Smith - Too Good at Goodbyes.mp3";Too Good at Goodbyes;Sam Smith;m
"Niall Horan - Too Much to Ask.mp3";Too Much to Ask;Niall Horan;m
"Liam Payne - Strip That Down (feat. Quavo).mp3";Strip That Down (feat. Quavo);Liam Payne;m
"Niall Horan - Slow Hands.mp3";Slow Hands;Niall Horan;m
"Demi Lovato - Sorry Not Sorry.mp3";Sorry Not Sorry;Demi Lovato;f
"Luis Fonsi, Daddy Yankee - Despacito (feat. Justin Bieber) [Remix].mp3";Despacito (feat. Justin Bieber) [Remix];Luis Fonsi, Daddy Yankee;m+
"Kesha - Praying.mp3";Praying;Kesha;f
"Maroon 5 - What Lovers Do (feat. SZA).mp3";What Lovers Do (feat. SZA);Maroon 5;m+
"P!nk - What About Us.mp3";What About Us;P!nk;f
"Nick Jonas - Find You.mp3";Find You;Nick Jonas;m
"Justin Bieber, BloodPop - Friends.mp3";Friends;Justin Bieber, BloodPop®;m+
"Charlie Puth - Attention.mp3";Attention;Charlie Puth;m
"Shawn Mendes - There's Nothing Holdin' Me Back.mp3";There's Nothing Holdin' Me Back;Shawn Mendes;m
"Ed Sheeran - Perfect.mp3";Perfect;Ed Sheeran;m
"Kelly Clarkson - Love So Soft.mp3";Love So Soft;Kelly Clarkson;f
"Camila Cabello - Havana (feat. Young Thug).mp3";Havana (feat. Young Thug);Camila Cabello;f
"Ed Sheeran - Shape of You.mp3";Shape of You;Ed Sheeran;m
"ZAYN - Dusk Till Dawn (feat. Sia).mp3";Dusk Till Dawn (feat. Sia);ZAYN;m
"Dua Lipa - New Rules.mp3";New Rules;Dua Lipa;f
"James Arthur - Say You Won't Let Go.mp3";Say You Won't Let Go;James Arthur;m
"BTS - Intro- Serendipity.mp3";Intro- Serendipity;BTS;m+
"P!nk - What About Us (Cash Cash Remix).mp3";What About Us (Cash Cash Remix);P!nk;f
"BTS - Best of Me.mp3";Best of Me;BTS;m+
"BTS - dimple.mp3";dimple;BTS;m+
"BTS - MIC Drop.mp3";MIC Drop;BTS;m+
"BTS - Pied Piper.mp3";Pied Piper;BTS;m+
"BTS - Go Go.mp3";Go Go;BTS;m+
"BTS - DNA.mp3";DNA;BTS;m+
"Khalid - Young Dumb & Broke.mp3";Young Dumb & Broke;Khalid;m
"Childish Gambino - Redbone.mp3";Redbone;Childish Gambino;m
"blackbear - do re mi.mp3";do re mi;blackbear;m
"Khalid - Location.mp3";Location;Khalid;m
"SZA - Love Galore (feat. Travis Scott).mp3";Love Galore (feat. Travis Scott);SZA;f
"Chris Brown - Questions.mp3";Questions;Chris Brown;m
"SZA - The Weekend.mp3";The Weekend;SZA;f
"Andra Day - Rise Up.mp3";Rise Up;Andra Day;f
"Tank - When We.mp3";When We;Tank;m
"K. Michelle - Either Way (feat. Chris Brown).mp3";Either Way (feat. Chris Brown);K. Michelle;f
"Chris Brown - Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black).mp3";Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black);Chris Brown;m
"The Weeknd - I Feel It Coming (feat. Daft Punk).mp3";I Feel It Coming (feat. Daft Punk);The Weeknd;m
"Miguel - Sky Walker (feat. Travis Scott).mp3";Sky Walker (feat. Travis Scott);Miguel;m
"blackbear - do re mi (feat. Gucci Mane).mp3";do re mi (feat. Gucci Mane);blackbear;m
"Toni Braxton - Deadwood.mp3";Deadwood;Toni Braxton;f
"John Legend - All of Me.mp3";All of Me;John Legend;m
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;m
"Jacquees - B.E.D..mp3";B.E.D.;Jacquees;m
"Earth, Wind, Fire - September.mp3";September;Earth, Wind, Fire;m+
"Usher - Yeah! (feat. Lil Jon & Ludacris).mp3";Yeah! (feat. Lil Jon & Ludacris);Usher;m
"Ginuwine - Pony.mp3";Pony;Ginuwine;m
"Chris Brown - Privacy.mp3";Privacy;Chris Brown;m
"Stevie Wonder - As.mp3";As;Stevie Wonder;m
"The Weeknd - Can’t Feel My Face.mp3";Can't Feel My Face;The Weeknd;m
"Khalid - 8TEEN.mp3";8TEEN;Khalid;m
"Bryson Tiller - Run Me Dry.mp3";Run Me Dry;Bryson Tiller;m
"Jessie Reyez - Figures.mp3";Figures;Jessie Reyez;f
"The Weeknd - The Hills.mp3";The Hills;The Weeknd;m
"Daniel Caesar - Best Part (feat. H.E.R.).mp3";Best Part (feat. H.E.R.);Daniel Caesar;m
"Khalid - Another Sad Love Song.mp3";Another Sad Love Song;Khalid;m
"Common Kings - Cali Girl (feat. Don Corleon).mp3";Cali Girl (feat. Don Corleon);Common Kings;m+
"Shaggy - It Wasn't Me (feat. Ricardo Ducent).mp3";It Wasn't Me (feat. Ricardo Ducent);Shaggy;m
"Matisyahu - One Day.mp3";One Day;Matisyahu;m
"Sean Paul - No Lie (feat. Dua Lipa).mp3";No Lie (feat. Dua Lipa);Sean Paul;m
"Bob Marley, The Wailers - Three Little Birds.mp3";Three Little Birds;Bob Marley, The Wailers;m+
"UB40 - Red Red Wine (12'' Version).mp3";Red Red Wine (12'' Version);UB40;m+
"Bob Marley, The Wailers - Is This Love.mp3";Is This Love;Bob Marley, The Wailers;m+
"Shaggy - Angel (feat. Rayvon).mp3";Angel (feat. Rayvon);Shaggy;m
"Kevin Lyttle - Turn Me On.mp3";Turn Me On;Kevin Lyttle;m
"Damian Jr. Gong Marley - Medication (feat. Stephen Marley).mp3";Medication (feat. Stephen Marley);"Damian ""Jr. Gong"" Marley";m
"Bob Marley, The Wailers - No Woman, No Cry (Live 1975).mp3";No Woman, No Cry (Live 1975);Bob Marley, The Wailers;m+
"Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul;m
"Damian Jr. Gong Marley - Welcome to Jamrock.mp3";Welcome to Jamrock;"Damian ""Jr. Gong"" Marley";m
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;m+
"Bob Marley, The Wailers - Could You Be Loved.mp3";Could You Be Loved;Bob Marley, The Wailers;m+
"Shaggy - Angel.mp3";Angel;Shaggy;m
"Sister Nancy - Bam Bam.mp3";Bam Bam;Sister Nancy;f
"Bob Marley, The Wailers - Redemption Song.mp3";Redemption Song;Bob Marley, The Wailers;m+
"Vybz Kartel - Fever.mp3";Fever;Vybz Kartel;m
"Bob Marley, The Wailers - Buffalo Soldier.mp3";Buffalo Soldier;Bob Marley, The Wailers;m+
"Wayne Wonder - No Letting Go.mp3";No Letting Go;Wayne Wonder;m
"Kranium - Can't Believe (feat. Ty Dolla $ign & WizKid).mp3";Can't Believe (feat. Ty Dolla $ign & WizKid);Kranium;m
"Popcaan - El Chapo.mp3";El Chapo;Popcaan;m
"Inner Circle - Sweat (A La La La La Long).mp3";Sweat (A La La La La Long);Inner Circle;m+
"Damian Marley, Nas - Patience.mp3";Patience;Damian Marley, Nas;m+
"Shaggy - Boombastic.mp3";Boombastic;Shaggy;m
"Common Kings - Take Her.mp3";Take Her;Common Kings;m+
"Ky-Mani Marley, Yanique 'Curvy Diva' - Turn Your Lights Down Low.mp3";Turn Your Lights Down Low;Ky-Mani Marley, Yanique 'Curvy Diva';M+F
"Inner Circle - Bad Boys (Theme from COPS).mp3";Bad Boys (Theme from COPS);Inner Circle;m+
"Kranium - We Can (feat. Tory Lanez).mp3";We Can (feat. Tory Lanez);Kranium;m
"Theory of a Deadman - Rx.mp3";Rx;Theory of a Deadman;m+
"Disturbed - The Sound of Silence.mp3";The Sound of Silence;Disturbed;m+
"Evanescence - Imperfection.mp3";Imperfection;Evanescence;M+F
"Nothing More - Go to War.mp3";Go to War;Nothing More;m+
"Foo Fighters - The Sky Is A Neighborhood.mp3";The Sky Is A Neighborhood;Foo Fighters;m+
"U2 - You’re the Best Thing About Me.mp3";You’re the Best Thing About Me;U2;m+
"AC DC - Thunderstruck.mp3";Thunderstruck;AC DC;m+
"All That Remains - The Thunder Rolls (Cover).mp3";The Thunder Rolls (Cover);All That Remains;M+F
"Journey - Don't Stop Believin'.mp3";Don't Stop Believin';Journey;m+
"Marilyn Manson - WE KNOW WHERE YOU FUCKING LIVE.mp3";WE KNOW WHERE YOU FUCKING LIVE;Marilyn Manson;m
"Foo Fighters - Run.mp3";Run;Foo Fighters;m+
"Queen - Bohemian Rhapsody.mp3";Bohemian Rhapsody;Queen;m+
"AC DC - Back In Black.mp3";Back In Black;AC DC;m+
"Metallica - Enter Sandman.mp3";Enter Sandman;Metallica;m+
"Kid Rock - Picture (feat. Sheryl Crow).mp3";Picture (feat. Sheryl Crow);Kid Rock;m+
"Survivor - Eye of the Tiger.mp3";Eye of the Tiger;Survivor;m+
"Fleetwood Mac - The Chain.mp3";The Chain;Fleetwood Mac;M+F
"Prophets of Rage - Living on the 110.mp3";Living on the 110;Prophets of Rage;m+
"Queen - We Will Rock You.mp3";We Will Rock You;Queen;m+
"Eagles - Hotel California.mp3";Hotel California;Eagles;m+
"Highly Suspect - Little One.mp3";Little One;Highly Suspect;m+
"Toto - Africa.mp3";Africa;Toto;m+
"Joan Jett, The Blackhearts - I Love Rock 'N Roll.mp3";I Love Rock 'N Roll;Joan Jett, The Blackhearts;M+F
"AC DC - You Shook Me All Night Long.mp3";You Shook Me All Night Long;AC DC;m+
"I Prevail - Alone.mp3";Alone;I Prevail;m+
"NEEDTOBREATHE - Hard Love (feat. Lauren Daigle).mp3";Hard Love (feat. Lauren Daigle);NEEDTOBREATHE;m+
"Greta Van Fleet - Highway Tune.mp3";Highway Tune;Greta Van Fleet;m+
"Kansas - Carry On Wayward Son.mp3";Carry On Wayward Son;Kansas;m+
"Evanescence - Bring Me To Life.mp3";Bring Me To Life;Evanescence;M+F
"Queen - Don't Stop Me Now.mp3";Don't Stop Me Now;Queen;m+
"ADELE - MAKE YOU FEEL MY LOVE.mp3";MAKE YOU FEEL MY LOVE;ADELE;F
"ADELE - ROLLING IN THE DEEP.mp3";ROLLING IN THE DEEP;ADELE;F
"ADELE - SOMEONE LIKE YOU.mp3";SOMEONE LIKE YOU;ADELE;F
"ALEXANDRA BURKE - HALLELUJAH.mp3";HALLELUJAH;ALEXANDRA BURKE;F
"ALL SAINTS - NEVER EVER.mp3";NEVER EVER;ALL SAINTS;F
"ATOMIC KITTEN - WHOLE AGAIN.mp3";WHOLE AGAIN;ATOMIC KITTEN;F
"BRITNEY SPEARS - ...BABY ONE MORE TIME.mp3";...BABY ONE MORE TIME;BRITNEY SPEARS;F
"B'Witched - C'est La Vie.mp3";C'EST LA VIE;B'WITCHED;F
"CARLY RAE JEPSEN - CALL ME MAYBE.mp3";CALL ME MAYBE;CARLY RAE JEPSEN;F
"CELINE DION - MY HEART WILL GO ON.mp3";MY HEART WILL GO ON;CELINE DION;F
"CELINE DION - THINK TWICE.mp3";THINK TWICE;CELINE DION;F
"CHER - BELIEVE.mp3";BELIEVE;CHER;F
"CHERYL COLE - FIGHT FOR THIS LOVE.mp3";FIGHT FOR THIS LOVE;CHERYL COLE;F
"CHRISTINA PERRI - JAR OF HEARTS.mp3";JAR OF HEARTS;CHRISTINA PERRI;F
"DONNA SUMMER - I FEEL LOVE.mp3";I FEEL LOVE;DONNA SUMMER;F
"GLORIA GAYNOR - I WILL SURVIVE.mp3";I WILL SURVIVE;GLORIA GAYNOR;F
"IRENE CARA - FAME.mp3";FAME;IRENE CARA;F
"JENNIFER RUSH - THE POWER OF LOVE.mp3";THE POWER OF LOVE;JENNIFER RUSH;F
"JULIE COVINGTON - DON'T CRY FOR ME ARGENTINA.mp3";DON'T CRY FOR ME ARGENTINA;JULIE COVINGTON;F
"KATY PERRY - FIREWORK.mp3";FIREWORK;KATY PERRY;F
"KATY PERRY - ROAR.mp3";ROAR;KATY PERRY;F
"KYLIE MINOGUE - CAN'T GET YOU OUT OF MY HEAD.mp3";CAN'T GET YOU OUT OF MY HEAD;KYLIE MINOGUE;F
"LADY GAGA - BAD ROMANCE.mp3";BAD ROMANCE;LADY GAGA;F
"LADY GAGA - JUST DANCE.mp3";JUST DANCE;LADY GAGA;F
"LADY GAGA - POKER FACE.mp3";POKER FACE;LADY GAGA;F
"LEONA LEWIS - A MOMENT LIKE THIS.mp3";A MOMENT LIKE THIS;LEONA LEWIS;F
"LEONA LEWIS - BLEEDING LOVE.mp3";BLEEDING LOVE;LEONA LEWIS;F
"MARIAH CAREY - ALL I WANT FOR CHRISTMAS IS YOU.mp3";ALL I WANT FOR CHRISTMAS IS YOU;MARIAH CAREY;F
"NATALIE IMBRUGLIA - TORN.mp3";TORN;NATALIE IMBRUGLIA;F
"NICKI MINAJ - STARSHIPS.mp3";STARSHIPS;NICKI MINAJ;F
"RIHANNA - DIAMONDS.mp3";DIAMONDS;RIHANNA;F
"RIHANNA - ONLY GIRL - IN THE WORLD.mp3";ONLY GIRL - IN THE WORLD;RIHANNA;F
"SPICE GIRLS - 2 BECOME 1.mp3";2 BECOME 1;SPICE GIRLS;F
"SPICE GIRLS - SAY YOU'LL BE THERE.mp3";SAY YOU'LL BE THERE;SPICE GIRLS;F
"SPICE GIRLS - WANNABE.mp3";WANNABE;SPICE GIRLS;F
"WHIGFIELD - SATURDAY NIGHT.mp3";SATURDAY NIGHT;WHIGFIELD;F
"Whitney Houston - All at Once.mp3";All at Once ;Whitney Houston;F
"Whitney Houston - All the Man That I Need.mp3";All the Man That I Need ;Whitney Houston;F
"Whitney Houston - Could I Have This Kiss Forever (& Enrique Iglesias).mp3";Could I Have This Kiss Forever (& Enrique Iglesias) ;Whitney Houston;F
"Whitney Houston - Didn't We Almost Have It All.mp3";Didn't We Almost Have It All ;Whitney Houston;F
