File Name;Song Title;Author;Genre
"Get Ur Freak On - Missy Elliott.mp3";Missy Elliott;Get Ur Freak On;Hip-hop- Rap
"Common Kings - Take Her.mp3";Take Her;Common Kings;Reggae
"Neil Diamond - Sweet Caroline.mp3";Sweet Caroline;Neil Diamond;Pop
"Grover Washington, Jr. - Just the Two of Us (feat. Bill Withers).mp3";Just the Two of Us (feat. Bill Withers);Grover Washington, Jr.;Jazz
"Dada Life - Kickout the Epic Motherfucker.mp3";Kickout the Epic Motherfucker;Dada Life;Electronic
"Elton John - Rocket Man (I Think It's Going to Be a Long, Long Time).mp3";Rocket Man (I Think It's Going to Be a Long, Long Time);Elton John;Rock
"Taylor Swift - Look What You Made Me Do.mp3";Look What You Made Me Do;Taylor Swift;Pop
"Kid Rock - Tennessee Mountain Top.mp3";Tennessee Mountain Top;Kid Rock;Country
"Herb Alpert, The Tijuana Brass - Spanish Flea.mp3";Spanish Flea;Herb Alpert, The Tijuana Brass;Jazz
"50 Cent - In Da Club.mp3";In Da Club;50 Cent;Hip-hop- Rap
"Glenn Miller, His Orchestra - In the Mood.mp3";In the Mood;Glenn Miller, His Orchestra;Jazz
"QT - Hey QT.mp3";Hey QT;QT;Electronic
"Louis Armstrong - La Vie En Rose (Single Version).mp3";La Vie En Rose (Single Version);Louis Armstrong;Jazz
"Earth, Wind, Fire - September.mp3";September;Earth, Wind, Fire;R&B/Soul
"Molly Johnson - Miss Celie's Blues.mp3";Miss Celie's Blues;Molly Johnson;Jazz
"The Show - Doug E. Fresh and the Get Fresh Crew,.mp3";Doug E. Fresh and the Get Fresh Crew,;The Show;Hip-hop- Rap
"Thomas Rhett - Life Changes.mp3";Life Changes;Thomas Rhett;Country
"Beastie Boys - Paul Revere.mp3";Paul Revere;Beastie Boys;Hip-hop- Rap
"Highly Suspect - Little One.mp3";Little One;Highly Suspect;Rock
"Beth Hart - Love Is a Lie.mp3";Love Is a Lie;Beth Hart;Blues
"Skrillex - Scary Monsters and Nice Sprites.mp3";Scary Monsters and Nice Sprites;Skrillex;Electronic
"Electric Light Orchestra - Livin' Thing.mp3";Livin' Thing;Electric Light Orchestra;Rock
"Demi Lovato - Sorry Not Sorry.mp3";Sorry Not Sorry;Demi Lovato;Pop
"Khalid - Location.mp3";Location;Khalid;R&B/Soul
"Cupid - Cupid Shuffle.mp3";Cupid Shuffle;Cupid;R&B/Soul
"TroyBoi - Afterhours (feat. Diplo & Nina Sky).mp3";Afterhours (feat. Diplo & Nina Sky);TroyBoi;Electronic
"Keith Urban - Blue Ain't Your Color.mp3";Blue Ain't Your Color;Keith Urban;Country
"Mat Zo, Porter Robinson - Easy.mp3";Easy;Mat Zo, Porter Robinson;Electronic
"Craig Mack, Rampage, the Notorious B.I.G., LL Cool J, Busta Rhymes - Flava in Ya Ear (Remix).mp3";Flava in Ya Ear (Remix);Craig Mack, Rampage,  the Notorious B.I.G.,   LL Cool J,  Busta Rhymes;Hip-hop- Rap
"The Bloody Beetroots - Warp 1.9 (feat. Steve Aoki).mp3";Warp 1.9 (feat. Steve Aoki);The Bloody Beetroots;Electronic
"Damian 'Jr. Gong' Marley - Road to Zion.mp3";Road to Zion;Damian 'Jr. Gong' Marley;Reggae
"FloRida - My House.mp3";My House;FloRida;Hip-hop- Rap
"Guns N' Roses - November Rain.mp3";November Rain;Guns N' Roses;Rock
"Calvin Harris - Let's Go (feat. Ne-Yo).mp3";Let's Go (feat. Ne-Yo);Calvin Harris;Electronic
"Kid Rock - Sugar Pie Honey Bunch.mp3";Sugar Pie Honey Bunch;Kid Rock;Country
"LANCO - Greatest Love Story.mp3";Greatest Love Story;LANCO;Country
"Blake Shelton - I'll Name the Dogs.mp3";I'll Name the Dogs;Blake Shelton;Country
"Eric B., Rakim - Paid in Full.mp3";Paid in Full;Eric B., Rakim;Hip-hop- Rap
"Taylor Swift - ...Ready For It .mp3";...Ready For It?;Taylor Swift;Pop
"The Weeknd - Can't Feel My Face.mp3";Can't Feel My Face;The Weeknd;R&B/Soul
"Jonny Lang - Stronger Together.mp3";Stronger Together;Jonny Lang;Blues
"Luke Combs - Hurricane.mp3";Hurricane;Luke Combs;Country
"AC DC - Thunderstruck.mp3";Thunderstruck;AC DC;Rock
"Matisyahu - King Without a Crown.mp3";King Without a Crown;Matisyahu;Reggae
"RL Grime, What So Not - Tell Me.mp3";Tell Me;RL Grime, What So Not;Electronic
"Dylan Scott - My Girl.mp3";My Girl;Dylan Scott;Country
"Whitney Houston - I Wanna Dance with Somebody (Who Loves Me).mp3";I Wanna Dance with Somebody (Who Loves Me);Whitney Houston;R&B/Soul
"Run-DMC - Sucker M.C.'s.mp3";Sucker M.C.'s;Run-DMC;Hip-hop- Rap
"Nat King Cole - L-O-V-E.mp3";L-O-V-E;Nat King Cole;Jazz
"2Pac - Dear Mama.mp3";Dear Mama;2Pac;Hip-hop- Rap
"David Guetta - Without You (feat. Usher).mp3";Without You (feat. Usher);David Guetta;Electronic
"Boney James - Tick Tock.mp3";Tick Tock;Boney James;Jazz
"Flume - Never Be Like You (feat. Kai).mp3";Never Be Like You (feat. Kai);Flume;Electronic
"Guns N' Roses - Welcome to the Jungle.mp3";Welcome to the Jungle;Guns N' Roses;Rock
"Florida Georgia Line - H.O.L.Y..mp3";H.O.L.Y.;Florida Georgia Line;Country
"Calvin Harris, Rihanna - We Found Love.mp3";We Found Love;Calvin Harris, Rihanna;Electronic
"Swedish House Mafia - Don't You Worry Child (feat. John Martin).mp3";Don't You Worry Child (feat. John Martin);Swedish House Mafia;Electronic
"Eagles - Hotel California.mp3";Hotel California;Eagles;Rock
"Bob Marley, The Wailers - Is This Love.mp3";Is This Love;Bob Marley, The Wailers;Reggae
"Sabrina Claudio - Frozen.mp3";Frozen;Sabrina Claudio;R&B/Soul
"Iration - Fly with Me.mp3";Fly with Me;Iration;Reggae
"Quinn Sullivan - Something for Me.mp3";Something for Me;Quinn Sullivan;Blues
"blackbear - Idfc.mp3";Idfc;blackbear;R&B/Soul
"Tim McGraw - Humble and Kind.mp3";Humble and Kind;Tim McGraw;Country
"Stevie Wonder - As.mp3";As;Stevie Wonder;R&B/Soul
"Kygo, Selena Gomez - It Ain't Me.mp3";It Ain't Me;Kygo, Selena Gomez;Pop
"Johnnie Taylor - Soul Heaven.mp3";Soul Heaven;Johnnie Taylor;Blues
"Niall Horan - Too Much to Ask.mp3";Too Much to Ask;Niall Horan;Pop
"Lynyrd Skynyrd - Free Bird.mp3";Free Bird;Lynyrd Skynyrd;Rock
"Joe Bonamassa - Black Lung Heartache.mp3";Black Lung Heartache;Joe Bonamassa;Blues
"Jacquees - B.E.D..mp3";B.E.D.;Jacquees;R&B/Soul
"Cheat Codes - No Promises (feat. Demi Lovato).mp3";No Promises (feat. Demi Lovato);Cheat Codes;Pop
"Dua Lipa - New Rules.mp3";New Rules;Dua Lipa;Pop
"Midland - Drinkin' Problem.mp3";Drinkin' Problem;Midland;Country
"Foo Fighters - Run.mp3";Run;Foo Fighters;Rock
"Samantha Fish - Chills & Fever.mp3";Chills & Fever;Samantha Fish;Blues
"That's the Joint - Funky 4 + 1.mp3";Funky 4 + 1;That's the Joint;Hip-hop- Rap
"Old Dominion - No Such Thing as a Broken Heart.mp3";No Such Thing as a Broken Heart;Old Dominion;Country
"blackbear - do re mi (feat. Gucci Mane).mp3";do re mi (feat. Gucci Mane);blackbear;R&B/Soul
"Tony Bennett - (I Left My Heart) In San Francisco.mp3";(I Left My Heart) In San Francisco;Tony Bennett;Jazz
"N.W.A - Fuck tha Police.mp3";Fuck tha Police;N.W.A;Hip-hop- Rap
"Chris Stapleton - Broken Halos.mp3";Broken Halos;Chris Stapleton;Country
"N.W.A - Straight Outta Compton.mp3";Straight Outta Compton;N.W.A;Hip-hop- Rap
"J Boog - Let's Do It Again.mp3";Let's Do It Again;J Boog;Reggae
"Pete Rock, C.L. Smooth - They Reminisce Over You (T.R.O.Y.).mp3";They Reminisce Over You (T.R.O.Y.);Pete Rock, C.L. Smooth;Hip-hop- Rap
"Annie LeBlanc - Ordinary Girl.mp3";Ordinary Girl;Annie LeBlanc;Pop
"Push It - Salt-N-Pepa.mp3";Salt-N-Pepa;Push It;Hip-hop- Rap
"Thomas Rhett - Marry Me.mp3";Marry Me;Thomas Rhett;Country
"B.B. King, U2 - When Love Comes to Town.mp3";When Love Comes to Town;B.B. King, U2;Blues
"The Killers - Mr. Brightside.mp3";Mr. Brightside;The Killers;Rock
"DeeWunn - Mek It Bunx Up (feat. Marcy Chin).mp3";Mek It Bunx Up (feat. Marcy Chin);DeeWunn;Reggae
"The Blues Brothers - Soul Man.mp3";Soul Man;The Blues Brothers;Blues
"Lady Gaga - Million Reasons.mp3";Million Reasons;Lady Gaga;Pop
"Rustie - First Mythz.mp3";First Mythz;Rustie;Electronic
"TLC - No Scrubs.mp3";No Scrubs;TLC;R&B/Soul
"Carnage - I Like Tuh (feat. iLoveMakonnen).mp3";I Like Tuh (feat. iLoveMakonnen);Carnage;Electronic
"Shook Ones (Part II) - Mobb Deep.mp3";Mobb Deep;Shook Ones (Part II);Hip-hop- Rap
"The Notorious B.I.G. - Hypnotize.mp3";Hypnotize;The Notorious B.I.G.;Hip-hop- Rap
"Theory of a Deadman - Rx.mp3";Rx;Theory of a Deadman;Rock
"Richard Elliot - Summer Madness.mp3";Summer Madness;Richard Elliot;Jazz
"Flux Pavilion - Bass Cannon.mp3";Bass Cannon;Flux Pavilion;Electronic
"Popcaan - Bad Yuh Bad.mp3";Bad Yuh Bad;Popcaan;Reggae
"Prophets of Rage - Unfuck the World.mp3";Unfuck the World;Prophets of Rage;Rock
"John Coltrane, Duke Ellington - In a Sentimental Mood.mp3";In a Sentimental Mood;John Coltrane, Duke Ellington;Jazz
"Old Dominion - Written in the Sand.mp3";Written in the Sand;Old Dominion;Country
"B.O.B. - Outkast.mp3";Outkast;B.O.B.;Hip-hop- Rap
"Jon Pardi - Heartache on the Dance Floor.mp3";Heartache on the Dance Floor;Jon Pardi;Country
"Canned Heat - On the Road Again.mp3";On the Road Again;Canned Heat;Blues
"Post Malone - Congratulations (feat. Quavo).mp3";Congratulations (feat. Quavo);Post Malone;Hip-hop- Rap
"AC DC - Hells Bells.mp3";Hells Bells;AC DC;Rock
"Rusko - Woo Boost.mp3";Woo Boost;Rusko;Electronic
"Maroon 5 - What Lovers Do (feat. SZA).mp3";What Lovers Do (feat. SZA);Maroon 5;Pop
"BTS - Go Go.mp3";Go Go;BTS;Pop
"Rebelution - Lay My Claim.mp3";Lay My Claim;Rebelution;Reggae
"Jonny Lang - Still Rainin'.mp3";Still Rainin';Jonny Lang;Blues
"Matisyahu - One Day.mp3";One Day;Matisyahu;Reggae
"The Temptations - My Girl.mp3";My Girl;The Temptations;R&B/Soul
"Rebelution - Ordinary Girl.mp3";Ordinary Girl;Rebelution;Reggae
"JhenT Aiko - While We're Young.mp3";While We're Young;Jhené Aiko;R&B/Soul
"R.L. Burnside - Someday Baby.mp3";Someday Baby;R.L. Burnside;Blues
"Scotty McCreery - Five More Minutes.mp3";Five More Minutes;Scotty McCreery;Country
"Madeon - Finale.mp3";Finale;Madeon;Electronic
"Damian Jr. Gong Marley - Welcome to Jamrock.mp3";Welcome to Jamrock;"Damian ""Jr. Gong"" Marley";Reggae
"Real Life - Send Me an Angel.mp3";Send Me an Angel;Real Life;Electronic
"Jake Paul - It's Everyday Bro (feat. Team 10).mp3";It's Everyday Bro (feat. Team 10);Jake Paul;Pop
"Herb Alpert, The Tijuana Brass - This Guy's in Love with You.mp3";This Guy's in Love with You;Herb Alpert, The Tijuana Brass;Jazz
"Nickelback - Rockstar.mp3";Rockstar;Nickelback;Rock
"Waka Flocka Flame - Hard in Da Paint (Bellizio Remix) (Crizzly Edit).mp3";Hard in Da Paint (Bellizio Remix) (Crizzly Edit);Waka Flocka Flame;Electronic
"Kid Rock - Picture (feat. Sheryl Crow).mp3";Picture (feat. Sheryl Crow);Kid Rock;Rock
"The Weeknd - Earned It (Fifty Shades of Grey).mp3";Earned It (Fifty Shades of Grey);The Weeknd;R&B/Soul
"Lady Antebellum - You Look Good.mp3";You Look Good;Lady Antebellum;Country
"Bob Marley, The Wailers - Redemption Song.mp3";Redemption Song;Bob Marley, The Wailers;Reggae
"Lizz Wright - Southern Nights.mp3";Southern Nights;Lizz Wright;Jazz
"Chuck Berry - Route 66.mp3";Route 66;Chuck Berry;Blues
"Kesha - Woman (feat. The Dap-Kings Horns).mp3";Woman (feat. The Dap-Kings Horns);Kesha;Pop
"Bob Marley, The Wailers - Three Little Birds.mp3";Three Little Birds;Bob Marley, The Wailers;Reggae
"Feeling Good -Nina Simone.mp3";Feeling Good;Nina Simone;Jazz
"Andy Grammer - Smoke Clears.mp3";Smoke Clears;Andy Grammer;Pop
"4 Non Blondes - What's Up.mp3";What's Up?;4 Non Blondes;Rock
"Collie Buddz - Come Around.mp3";Come Around;Collie Buddz;Reggae
"Maren Morris - I Could Use a Love Song.mp3";I Could Use a Love Song;Maren Morris;Country
"A Tribe Called Quest, Leaders of the New School - Scenario.mp3";Scenario;A Tribe Called Quest, Leaders of the New School;Hip-hop- Rap
"Guns N' Roses - Sweet Child O' Mine.mp3";Sweet Child O' Mine;Guns N' Roses;Rock
"Peking Duk - High (feat. Nicole Millar).mp3";High (feat. Nicole Millar);Peking Duk;Electronic
"Robert Johnson - Cross Road Blues.mp3";Cross Road Blues;Robert Johnson;Blues
"Grace VanderWaal - Moonlight.mp3";Moonlight;Grace VanderWaal;Pop
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;Reggae
"Brett Young - In Case You Didn't Know.mp3";In Case You Didn't Know;Brett Young;Country
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;Blues
"Frank Sinatra - Young At Heart.mp3";Young At Heart;Frank Sinatra;Jazz
"Elvis Presley - Can't Help Falling In Love.mp3";Can't Help Falling In Love;Elvis Presley;Rock
"Sevyn Streeter - Before I Do.mp3";Before I Do;Sevyn Streeter;R&B/Soul
"Miguel - Shockandawe.mp3";Shockandawe;Miguel;Pop
"Blake Shelton - At the House.mp3";At the House;Blake Shelton;Country
"The Weeknd - Reminder.mp3";Reminder;The Weeknd;R&B/Soul
"Eric Church - Round Here Buzz.mp3";Round Here Buzz;Eric Church;Country
"CNCO, Little Mix - Reggaeton Lento (Remix).mp3";Reggaeton Lento (Remix);CNCO, Little Mix;Pop
"P!nk - What About Us.mp3";What About Us;P!nk;Pop
"Stan Getz & Joao Gilberto - The Girl from Ipanema.mp3";The Girl from Ipanema;Stan Getz & Joao Gilberto;Jazz
"Shawn Mendes - There's Nothing Holdin' Me Back.mp3";There's Nothing Holdin' Me Back;Shawn Mendes;Pop
"Walker Hayes - You Broke Up with Me.mp3";You Broke Up with Me;Walker Hayes;Country
"Buddy Guy - Feels Like Rain.mp3";Feels Like Rain;Buddy Guy;Blues
"Iration - Falling.mp3";Falling;Iration;Reggae
"Vybz Kartel - Fever.mp3";Fever;Vybz Kartel;Reggae
"Little Big Town - Better Man.mp3";Better Man;Little Big Town;Country
"Sean Paul - Tek Weh Yuh Heart (feat. Tory Lanez).mp3";Tek Weh Yuh Heart (feat. Tory Lanez);Sean Paul;Reggae
"Shaggy - Angel (feat. Rayvon).mp3";Angel (feat. Rayvon);Shaggy;Reggae
"deadmau5 - Raise Your Weapon.mp3";Raise Your Weapon;deadmau5;Electronic
"Kansas - Carry On Wayward Son.mp3";Carry On Wayward Son;Kansas;Rock
"Duck Sauce - Barbra Streisand.mp3";Barbra Streisand;Duck Sauce;Electronic
"Dillon Francis, Diplo - Que Que (feat. Maluca).mp3";Que Que (feat. Maluca);Dillon Francis, Diplo;Electronic
"Samantha Fish - Hello Stranger.mp3";Hello Stranger;Samantha Fish;Blues
"Stan - Eminem feat. Dido,.mp3";Eminem feat. Dido,;Stan;Hip-hop- Rap
"Bob Marley - Turn Your Lights Down Low (Interpolation of Lovin You).mp3";Turn Your Lights Down Low (Interpolation of Lovin You);Bob Marley;Reggae
"Julia Michaels - Issues.mp3";Issues;Julia Michaels;Pop
"Metallica - Nothing Else Matters.mp3";Nothing Else Matters;Metallica;Rock
"Scott Joplin - The Entertainer.mp3";The Entertainer;Scott Joplin;Jazz
"Pink Floyd - Wish You Were Here.mp3";Wish You Were Here;Pink Floyd;Rock
"BTS - Best of Me.mp3";Best of Me;BTS;Pop
"Granger Smith - Happens Like That.mp3";Happens Like That;Granger Smith;Country
"Sam Cooke - Mean Old World.mp3";Mean Old World;Sam Cooke;R&B/Soul
"Eli-Mac - Mr Sensi.mp3";Mr Sensi;Eli-Mac;Reggae
"Miles Davis - Round Midnight.mp3";Round Midnight;Miles Davis;Jazz
"Tony Bennett & Lady Gaga - Winter Wonderland.mp3";Winter Wonderland;Tony Bennett & Lady Gaga;Jazz
"Konshens - Bruk Off Yuh Back.mp3";Bruk Off Yuh Back;Konshens;Reggae
"Hailee Steinfeld - Most Girls.mp3";Most Girls;Hailee Steinfeld;Pop
"Charlie Puth - Attention.mp3";Attention;Charlie Puth;Pop
"ZAYN - Dusk Till Dawn (feat. Sia).mp3";Dusk Till Dawn (feat. Sia);ZAYN;Pop
"Kelly Clarkson - Move You.mp3";Move You;Kelly Clarkson;Pop
"Etta James - At Last.mp3";At Last;Etta James;Blues
"Kelly Clarkson - Love So Soft.mp3";Love So Soft;Kelly Clarkson;Pop
"Nero - Dark Skies.mp3";Dark Skies;Nero;Electronic
"Kavinsky - Nightcall.mp3";Nightcall;Kavinsky;Electronic
"Baauer - GoGo!.mp3";GoGo!;Baauer;Electronic
"The Rolling Stones - Just Your Fool.mp3";Just Your Fool;The Rolling Stones;Blues
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;Blues
"Toto - Africa.mp3";Africa;Toto;Rock
"Sammy Johnson - Sleepwalker.mp3";Sleepwalker;Sammy Johnson;Reggae
"SZA - The Weekend.mp3";The Weekend;SZA;R&B/Soul
"Michael Kiwanuka - Cold Little Heart.mp3";Cold Little Heart;Michael Kiwanuka;R&B/Soul
"BTS - Outro- Her.mp3";Outro- Her;BTS;Pop
"It Was a Good Day - Ice Cube.mp3";Ice Cube;It Was a Good Day;Hip-hop- Rap
"Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul;Reggae
"Justice - D.A.N.C.E..mp3";D.A.N.C.E.;Justice;Electronic
"King of Rock - Run-DMC.mp3";Run-DMC;King of Rock;Hip-hop- Rap
"The Chainsmokers - Closer (feat. Halsey).mp3";Closer (feat. Halsey);The Chainsmokers;Electronic
"R.L. Burnside - Let My Baby Ride.mp3";Let My Baby Ride;R.L. Burnside;Blues
"Bob Marley, The Wailers - Stir It Up.mp3";Stir It Up;Bob Marley, The Wailers;Reggae
"Sean Paul - No Lie (feat. Dua Lipa).mp3";No Lie (feat. Dua Lipa);Sean Paul;Reggae
"Dave Brubeck - Take Five.mp3";Take Five;Dave Brubeck;Jazz
"Florida Georgia Line - God, Your Mama, And Me (feat. Backstreet Boys).mp3";God, Your Mama, And Me (feat. Backstreet Boys);Florida Georgia Line;Country
"Chris Brown - Questions.mp3";Questions;Chris Brown;R&B/Soul
"Herb Alpert - Route 101.mp3";Route 101;Herb Alpert;Jazz
"James Arthur - Say You Won't Let Go.mp3";Say You Won't Let Go;James Arthur;Pop
"Khalid - Another Sad Love Song.mp3";Another Sad Love Song;Khalid;R&B/Soul
"Ed Sheeran - Thinking Out Loud.mp3";Thinking Out Loud;Ed Sheeran;Pop
"BTS - DNA.mp3";DNA;BTS;Pop
"Joan Jett, The Blackhearts - I Love Rock 'N Roll.mp3";I Love Rock 'N Roll;Joan Jett, The Blackhearts;Rock
"The Weeknd - Party Monster.mp3";Party Monster;The Weeknd;R&B/Soul
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;R&B/Soul
"Inner Circle - Sweat (A La La La La Long).mp3";Sweat (A La La La La Long);Inner Circle;Reggae
"Kid Rock - All Summer Long.mp3";All Summer Long;Kid Rock;Rock
"Aaron Neville - Tell It Like It Is.mp3";Tell It Like It Is;Aaron Neville;Blues
"TWICE - LIKEY.mp3";LIKEY;TWICE;Pop
"Andy Grammer - Give Love (feat. LunchMoney Lewis).mp3";Give Love (feat. LunchMoney Lewis);Andy Grammer;Pop
"Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals).mp3";Back to You (feat. Bebe Rexha & Digital Farm Animals);Louis Tomlinson;Pop
"Labrinth - Misbehaving.mp3";Misbehaving;Labrinth;Pop
"Gin, Juice - Snoop Doggy Dogg.mp3";Snoop Doggy Dogg;Gin, Juice;Hip-hop- Rap
"Avicii - Levels.mp3";Levels;Avicii;Electronic
"Joe Bonamassa - Drive.mp3";Drive;Joe Bonamassa;Blues
"LL Cool J - Mama Said Knock You Out.mp3";Mama Said Knock You Out;LL Cool J;Hip-hop- Rap
"REZZ - Edge.mp3";Edge;REZZ;Electronic
"Joe Bonamassa - Get Back My Tomorrow (Live).mp3";Get Back My Tomorrow (Live);Joe Bonamassa;Blues
"Maroon 5 & Julia Michaels - Help Me Out.mp3";Help Me Out;Maroon 5 & Julia Michaels;Pop
"Kranium - We Can (feat. Tory Lanez).mp3";We Can (feat. Tory Lanez);Kranium;Reggae
"Justin Bieber, BloodPop - Friends.mp3";Friends;Justin Bieber, BloodPop®;Pop
"Jack U - Where Are U Now (feat. Justin Bieber).mp3";Where Are Ü Now (feat. Justin Bieber);Jack Ü;Electronic
"Daniel Caesar - Get You (feat. Kali Uchis).mp3";Get You (feat. Kali Uchis);Daniel Caesar;R&B/Soul
"Me Myself, I - De La Soul.mp3";De La Soul;Me Myself, I;Hip-hop- Rap
"Khalid - Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty].mp3";Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty];Khalid;R&B/Soul
"DJ Snake, Lil Jon - Turn Down For What.mp3";Turn Down For What;DJ Snake, Lil Jon;Electronic
"Lost Ones - Lauryn Hill.mp3";Lauryn Hill;Lost Ones;Hip-hop- Rap
"Ed Sheeran - Castle on the Hill.mp3";Castle on the Hill;Ed Sheeran;Pop
"Queen - We Will Rock You.mp3";We Will Rock You;Queen;Rock
"Nat King Cole, Natalie Cole - Unforgettable.mp3";Unforgettable;Nat King Cole, Natalie Cole;Jazz
"Inner Circle - Bad Boys (Theme from COPS).mp3";Bad Boys (Theme from COPS);Inner Circle;Reggae
"Jonathan Fritzen - Let It Go.mp3";Let It Go;Jonathan Fritzén;Jazz
"LL Cool J - Rock the Bells.mp3";Rock the Bells;LL Cool J;Hip-hop- Rap
"Shaggy - It Wasn't Me (feat. Ricardo Ducent).mp3";It Wasn't Me (feat. Ricardo Ducent);Shaggy;Reggae
"MAJOR. - Why I Love You.mp3";Why I Love You;MAJOR.;R&B/Soul
"Ruthie Foster - Lord Remember Me.mp3";Lord Remember Me;Ruthie Foster;Blues
"Afrika Bambaataa, the Soulsonic Force - Planet Rock.mp3";Planet Rock;Afrika Bambaataa, the Soulsonic Force;Hip-hop- Rap
"MAX - Lights Down Low (feat. gnash).mp3";Lights Down Low (feat. gnash);MAX;Pop
"Mija, Vindata - Better.mp3";Better;Mija, Vindata;Electronic
"The Weeknd - I Feel It Coming (feat. Daft Punk).mp3";I Feel It Coming (feat. Daft Punk);The Weeknd;R&B/Soul
"Public Enemy - Fight the Power.mp3";Fight the Power;Public Enemy;Hip-hop- Rap
"The Weeknd - Die For You.mp3";Die For You;The Weeknd;R&B/Soul
"Sugarhill Gang - Rapper's Delight.mp3";Rapper's Delight;Sugarhill Gang;Hip-hop- Rap
"The Breaks - Kurtis Blow.mp3";Kurtis Blow;The Breaks;Hip-hop- Rap
