File Name;Song Title;Author;Genre
"Queen - Don't Stop Me Now.mp3";Don't Stop Me Now;Queen;Rock
"Bon Jovi - Livin' On a Prayer.mp3";Livin' On a Prayer;Bon Jovi;Rock
"K. Michelle - Either Way (feat. Chris Brown).mp3";Either Way (feat. Chris Brown);K. Michelle;R&B/Soul
"UB40 - Red Red Wine (12'' Version).mp3";Red Red Wine (12'' Version);UB40;Reggae
"EPMD - Strictly Business.mp3";Strictly Business;EPMD;Hip-hop- Rap
"Evanescence - Imperfection.mp3";Imperfection;Evanescence;Rock
"Gary Moore - Still Got the Blues.mp3";Still Got the Blues;Gary Moore;Blues
"Popcaan - Family.mp3";Family;Popcaan;Reggae
"Bring the Noise - Public Enemy.mp3";Public Enemy;Bring the Noise;Hip-hop- Rap
"Kranium - Can't Believe (feat. Ty Dolla $ign & WizKid).mp3";Can't Believe (feat. Ty Dolla $ign & WizKid);Kranium;Reggae
"Brett Young - Like I Loved You.mp3";Like I Loved You;Brett Young;Country
"Jessie J - Think About That.mp3";Think About That;Jessie J;R&B/Soul
"Kenny G - Songbird.mp3";Songbird;Kenny G;Jazz
"Tank - When We.mp3";When We;Tank;R&B/Soul
"Muddy Waters - Mannish Boy.mp3";Mannish Boy;Muddy Waters;Blues
"Electric Light Orchestra - Mr. Blue Sky.mp3";Mr. Blue Sky;Electric Light Orchestra;Rock
"NGHTMRE, Loudpvck - Click Clack.mp3";Click Clack;NGHTMRE, Loudpvck;Electronic
"Ducky - Work.mp3";Work;Ducky;Electronic
"Kenny Wayne Shepherd Band - Diamonds & Gold.mp3";Diamonds & Gold;Kenny Wayne Shepherd Band;Blues
"U2 - You're the Best Thing About Me.mp3";You’re the Best Thing About Me;U2;Rock
"Kevin Lyttle - Turn Me On.mp3";Turn Me On;Kevin Lyttle;Reggae
"Chris Lane - For Her.mp3";For Her;Chris Lane;Country
"Walter Trout - Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd).mp3";Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd);Walter Trout;Blues
"Fleetwood Mac - The Chain.mp3";The Chain;Fleetwood Mac;Rock
"Jon Pardi - Dirt on My Boots.mp3";Dirt on My Boots;Jon Pardi;Country
"Rebelution - Pretty Lady.mp3";Pretty Lady;Rebelution;Reggae
"Top Billin' - Audio Two.mp3";Audio Two;Top Billin';Hip-hop- Rap
"Prophets of Rage - Living on the 110.mp3";Living on the 110;Prophets of Rage;Rock
"Damian Marley, Nas - Patience.mp3";Patience;Damian Marley, Nas;Reggae
"Phil Collins - In the Air Tonight.mp3";In the Air Tonight;Phil Collins;Rock
"Ky-Mani Marley, Yanique 'Curvy Diva' - Turn Your Lights Down Low.mp3";Turn Your Lights Down Low;Ky-Mani Marley, Yanique 'Curvy Diva';Reggae
"Rhye - Taste.mp3";Taste;Rhye;Electronic
"Krewella - Enjoy the Ride.mp3";Enjoy the Ride;Krewella;Electronic
"99 Problems - Jay Z.mp3";Jay Z;99 Problems;Hip-hop- Rap
"Little Big Town - When Someone Stops Loving You.mp3";When Someone Stops Loving You;Little Big Town;Country
"Canned Heat - Goin' Up the Country.mp3";Goin' Up the Country;Canned Heat;Blues
"Chris Brown - Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black).mp3";Pills & Automobiles (feat. Yo Gotti, A Boogie wit da Hoodie & Kodak Black);Chris Brown;R&B/Soul
"Big Poppa - The Notorious B.I.G..mp3";The Notorious B.I.G.;Big Poppa;Hip-hop- Rap
"Mark Ronson - Uptown Funk (feat. Bruno Mars).mp3";Uptown Funk (feat. Bruno Mars);Mark Ronson;Pop
"Miguel - Sky Walker (feat. Travis Scott).mp3";Sky Walker (feat. Travis Scott);Miguel;R&B/Soul
"Miles Davis - So What.mp3";So What;Miles Davis;Jazz
"Mandy Harvey - Try.mp3";Try;Mandy Harvey;Jazz
"Stick Figure - Weight of Sound (feat. TJ O'Neill).mp3";Weight of Sound (feat. TJ O'Neill);Stick Figure;Reggae
"Eminem - Lose Yourself.mp3";Lose Yourself;Eminem;Hip-hop- Rap
"Grace VanderWaal - So Much More Than This.mp3";So Much More Than This;Grace VanderWaal;Pop
"Queen - Another One Bites the Dust.mp3";Another One Bites the Dust;Queen;Rock
"Cashmere Cat - Mirror Maru.mp3";Mirror Maru;Cashmere Cat;Electronic
"Jesus Walks - Kanye West.mp3";Kanye West;Jesus Walks;Hip-hop- Rap
"Bob Marley, The Wailers - Get Up, Stand Up.mp3";Get Up, Stand Up;Bob Marley, The Wailers;Reggae
"Childish Gambino - Redbone.mp3";Redbone;Childish Gambino;R&B/Soul
"Foo Fighters - The Line.mp3";The Line;Foo Fighters;Rock
"AC DC - Highway to Hell.mp3";Highway to Hell;AC DC;Rock
"Las Vegas Big Band - It's Only You That I Love.mp3";It's Only You That I Love;Las Vegas Big Band;Jazz
"Lil Xan - Betrayed.mp3";Betrayed;Lil Xan;Hip-hop- Rap
"Afrojack - Take Over Control (feat. Eva Simons).mp3";Take Over Control (feat. Eva Simons);Afrojack;Electronic
"Run-DMC - Peter Piper.mp3";Peter Piper;Run-DMC;Hip-hop- Rap
"Scott Bradlee's Postmodern Jukebox - Creep (feat. Haley Reinhart).mp3";Creep (feat. Haley Reinhart);Scott Bradlee's Postmodern Jukebox;Jazz
"Iration - Time Bomb.mp3";Time Bomb;Iration;Reggae
"Khalid - American Teen.mp3";American Teen;Khalid;R&B/Soul
"The Adventures of Grandmaster Flash on the Wheels of Steel - Grandmaster Flash and the Furious Five.mp3";Grandmaster Flash and the Furious Five;The Adventures of Grandmaster Flash on the Wheels of Steel;Hip-hop- Rap
"Diplo - Express Yourself (feat. Nicky Da B).mp3";Express Yourself (feat. Nicky Da B);Diplo;Electronic
"Sleepy Tom, Anna Lunoe - Pusher.mp3";Pusher;Sleepy Tom, Anna Lunoe;Electronic
"B.B. King, Eric Clapton - Riding With the King.mp3";Riding With the King;B.B. King, Eric Clapton;Blues
"blackbear - do re mi.mp3";do re mi;blackbear;R&B/Soul
"White Lines (Don't Don't Do It) - Grandmaster and Melle Mel.mp3";Grandmaster and Melle Mel;White Lines (Don't Don't Do It);Hip-hop- Rap
"Disturbed - The Sound of Silence.mp3";The Sound of Silence;Disturbed;Rock
"Dagames - Build Our Machine.mp3";Build Our Machine;Dagames;Electronic
"Evanescence - Bring Me To Life.mp3";Bring Me To Life;Evanescence;Rock
"J Boog - Let's Do It Again.mp3";Let's Do It Again;J Boog;Reggae
"Pete Rock, C.L. Smooth - They Reminisce Over You (T.R.O.Y.).mp3";They Reminisce Over You (T.R.O.Y.);Pete Rock, C.L. Smooth;Hip-hop- Rap
"Annie LeBlanc - Ordinary Girl.mp3";Ordinary Girl;Annie LeBlanc;Pop
"Push It - Salt-N-Pepa.mp3";Salt-N-Pepa;Push It;Hip-hop- Rap
"Thomas Rhett - Marry Me.mp3";Marry Me;Thomas Rhett;Country
"B.B. King, U2 - When Love Comes to Town.mp3";When Love Comes to Town;B.B. King, U2;Blues
"The Killers - Mr. Brightside.mp3";Mr. Brightside;The Killers;Rock
"DeeWunn - Mek It Bunx Up (feat. Marcy Chin).mp3";Mek It Bunx Up (feat. Marcy Chin);DeeWunn;Reggae
"The Blues Brothers - Soul Man.mp3";Soul Man;The Blues Brothers;Blues
"Lady Gaga - Million Reasons.mp3";Million Reasons;Lady Gaga;Pop
"Rustie - First Mythz.mp3";First Mythz;Rustie;Electronic
"TLC - No Scrubs.mp3";No Scrubs;TLC;R&B/Soul
"Carnage - I Like Tuh (feat. iLoveMakonnen).mp3";I Like Tuh (feat. iLoveMakonnen);Carnage;Electronic
"Shook Ones (Part II) - Mobb Deep.mp3";Mobb Deep;Shook Ones (Part II);Hip-hop- Rap
"The Notorious B.I.G. - Hypnotize.mp3";Hypnotize;The Notorious B.I.G.;Hip-hop- Rap
"Theory of a Deadman - Rx.mp3";Rx;Theory of a Deadman;Rock
"Richard Elliot - Summer Madness.mp3";Summer Madness;Richard Elliot;Jazz
"Flux Pavilion - Bass Cannon.mp3";Bass Cannon;Flux Pavilion;Electronic
"Popcaan - Bad Yuh Bad.mp3";Bad Yuh Bad;Popcaan;Reggae
"Prophets of Rage - Unfuck the World.mp3";Unfuck the World;Prophets of Rage;Rock
"John Coltrane, Duke Ellington - In a Sentimental Mood.mp3";In a Sentimental Mood;John Coltrane, Duke Ellington;Jazz
"Old Dominion - Written in the Sand.mp3";Written in the Sand;Old Dominion;Country
"B.O.B. - Outkast.mp3";Outkast;B.O.B.;Hip-hop- Rap
"Jon Pardi - Heartache on the Dance Floor.mp3";Heartache on the Dance Floor;Jon Pardi;Country
"Canned Heat - On the Road Again.mp3";On the Road Again;Canned Heat;Blues
"Post Malone - Congratulations (feat. Quavo).mp3";Congratulations (feat. Quavo);Post Malone;Hip-hop- Rap
"AC DC - Hells Bells.mp3";Hells Bells;AC DC;Rock
"Rusko - Woo Boost.mp3";Woo Boost;Rusko;Electronic
"Maroon 5 - What Lovers Do (feat. SZA).mp3";What Lovers Do (feat. SZA);Maroon 5;Pop
"BTS - Go Go.mp3";Go Go;BTS;Pop
"Rebelution - Lay My Claim.mp3";Lay My Claim;Rebelution;Reggae
"Jonny Lang - Still Rainin'.mp3";Still Rainin';Jonny Lang;Blues
"Matisyahu - One Day.mp3";One Day;Matisyahu;Reggae
"The Temptations - My Girl.mp3";My Girl;The Temptations;R&B/Soul
"Rebelution - Ordinary Girl.mp3";Ordinary Girl;Rebelution;Reggae
"JhenT Aiko - While We're Young.mp3";While We're Young;Jhené Aiko;R&B/Soul
"R.L. Burnside - Someday Baby.mp3";Someday Baby;R.L. Burnside;Blues
"Scotty McCreery - Five More Minutes.mp3";Five More Minutes;Scotty McCreery;Country
"Madeon - Finale.mp3";Finale;Madeon;Electronic
"Damian Jr. Gong Marley - Welcome to Jamrock.mp3";Welcome to Jamrock;"Damian ""Jr. Gong"" Marley";Reggae
"Real Life - Send Me an Angel.mp3";Send Me an Angel;Real Life;Electronic
"Jake Paul - It's Everyday Bro (feat. Team 10).mp3";It's Everyday Bro (feat. Team 10);Jake Paul;Pop
"Herb Alpert, The Tijuana Brass - This Guy's in Love with You.mp3";This Guy's in Love with You;Herb Alpert, The Tijuana Brass;Jazz
"Nickelback - Rockstar.mp3";Rockstar;Nickelback;Rock
"Waka Flocka Flame - Hard in Da Paint (Bellizio Remix) (Crizzly Edit).mp3";Hard in Da Paint (Bellizio Remix) (Crizzly Edit);Waka Flocka Flame;Electronic
"Kid Rock - Picture (feat. Sheryl Crow).mp3";Picture (feat. Sheryl Crow);Kid Rock;Rock
"The Weeknd - Earned It (Fifty Shades of Grey).mp3";Earned It (Fifty Shades of Grey);The Weeknd;R&B/Soul
"Lady Antebellum - You Look Good.mp3";You Look Good;Lady Antebellum;Country
"Bob Marley, The Wailers - Redemption Song.mp3";Redemption Song;Bob Marley, The Wailers;Reggae
"Lizz Wright - Southern Nights.mp3";Southern Nights;Lizz Wright;Jazz
"Chuck Berry - Route 66.mp3";Route 66;Chuck Berry;Blues
"Kesha - Woman (feat. The Dap-Kings Horns).mp3";Woman (feat. The Dap-Kings Horns);Kesha;Pop
"Bob Marley, The Wailers - Three Little Birds.mp3";Three Little Birds;Bob Marley, The Wailers;Reggae
"Feeling Good -Nina Simone.mp3";Feeling Good;Nina Simone;Jazz
"Andy Grammer - Smoke Clears.mp3";Smoke Clears;Andy Grammer;Pop
"4 Non Blondes - What's Up.mp3";What's Up?;4 Non Blondes;Rock
"Collie Buddz - Come Around.mp3";Come Around;Collie Buddz;Reggae
"Maren Morris - I Could Use a Love Song.mp3";I Could Use a Love Song;Maren Morris;Country
"A Tribe Called Quest, Leaders of the New School - Scenario.mp3";Scenario;A Tribe Called Quest, Leaders of the New School;Hip-hop- Rap
"Guns N' Roses - Sweet Child O' Mine.mp3";Sweet Child O' Mine;Guns N' Roses;Rock
"Peking Duk - High (feat. Nicole Millar).mp3";High (feat. Nicole Millar);Peking Duk;Electronic
"Robert Johnson - Cross Road Blues.mp3";Cross Road Blues;Robert Johnson;Blues
"Grace VanderWaal - Moonlight.mp3";Moonlight;Grace VanderWaal;Pop
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;Reggae
"Brett Young - In Case You Didn't Know.mp3";In Case You Didn't Know;Brett Young;Country
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;Blues
"Frank Sinatra - Young At Heart.mp3";Young At Heart;Frank Sinatra;Jazz
"Elvis Presley - Can't Help Falling In Love.mp3";Can't Help Falling In Love;Elvis Presley;Rock
"Sevyn Streeter - Before I Do.mp3";Before I Do;Sevyn Streeter;R&B/Soul
"Miguel - Shockandawe.mp3";Shockandawe;Miguel;Pop
"Blake Shelton - At the House.mp3";At the House;Blake Shelton;Country
"The Weeknd - Reminder.mp3";Reminder;The Weeknd;R&B/Soul
"Eric Church - Round Here Buzz.mp3";Round Here Buzz;Eric Church;Country
"CNCO, Little Mix - Reggaeton Lento (Remix).mp3";Reggaeton Lento (Remix);CNCO, Little Mix;Pop
"P!nk - What About Us.mp3";What About Us;P!nk;Pop
"Stan Getz & Joao Gilberto - The Girl from Ipanema.mp3";The Girl from Ipanema;Stan Getz & Joao Gilberto;Jazz
"Shawn Mendes - There's Nothing Holdin' Me Back.mp3";There's Nothing Holdin' Me Back;Shawn Mendes;Pop
"Walker Hayes - You Broke Up with Me.mp3";You Broke Up with Me;Walker Hayes;Country
"Buddy Guy - Feels Like Rain.mp3";Feels Like Rain;Buddy Guy;Blues
"Iration - Falling.mp3";Falling;Iration;Reggae
"Vybz Kartel - Fever.mp3";Fever;Vybz Kartel;Reggae
"Little Big Town - Better Man.mp3";Better Man;Little Big Town;Country
"Sean Paul - Tek Weh Yuh Heart (feat. Tory Lanez).mp3";Tek Weh Yuh Heart (feat. Tory Lanez);Sean Paul;Reggae
"Shaggy - Angel (feat. Rayvon).mp3";Angel (feat. Rayvon);Shaggy;Reggae
"deadmau5 - Raise Your Weapon.mp3";Raise Your Weapon;deadmau5;Electronic
"Kansas - Carry On Wayward Son.mp3";Carry On Wayward Son;Kansas;Rock
"Duck Sauce - Barbra Streisand.mp3";Barbra Streisand;Duck Sauce;Electronic
"Dillon Francis, Diplo - Que Que (feat. Maluca).mp3";Que Que (feat. Maluca);Dillon Francis, Diplo;Electronic
"Samantha Fish - Hello Stranger.mp3";Hello Stranger;Samantha Fish;Blues
"Stan - Eminem feat. Dido,.mp3";Eminem feat. Dido,;Stan;Hip-hop- Rap
"Bob Marley - Turn Your Lights Down Low (Interpolation of Lovin You).mp3";Turn Your Lights Down Low (Interpolation of Lovin You);Bob Marley;Reggae
"Julia Michaels - Issues.mp3";Issues;Julia Michaels;Pop
"Metallica - Nothing Else Matters.mp3";Nothing Else Matters;Metallica;Rock
"Scott Joplin - The Entertainer.mp3";The Entertainer;Scott Joplin;Jazz
"Pink Floyd - Wish You Were Here.mp3";Wish You Were Here;Pink Floyd;Rock
"BTS - Best of Me.mp3";Best of Me;BTS;Pop
"Granger Smith - Happens Like That.mp3";Happens Like That;Granger Smith;Country
"Sam Cooke - Mean Old World.mp3";Mean Old World;Sam Cooke;R&B/Soul
"Eli-Mac - Mr Sensi.mp3";Mr Sensi;Eli-Mac;Reggae
"Miles Davis - Round Midnight.mp3";Round Midnight;Miles Davis;Jazz
"Tony Bennett & Lady Gaga - Winter Wonderland.mp3";Winter Wonderland;Tony Bennett & Lady Gaga;Jazz
"Konshens - Bruk Off Yuh Back.mp3";Bruk Off Yuh Back;Konshens;Reggae
"Hailee Steinfeld - Most Girls.mp3";Most Girls;Hailee Steinfeld;Pop
"Charlie Puth - Attention.mp3";Attention;Charlie Puth;Pop
"ZAYN - Dusk Till Dawn (feat. Sia).mp3";Dusk Till Dawn (feat. Sia);ZAYN;Pop
"Kelly Clarkson - Move You.mp3";Move You;Kelly Clarkson;Pop
"Etta James - At Last.mp3";At Last;Etta James;Blues
"Kelly Clarkson - Love So Soft.mp3";Love So Soft;Kelly Clarkson;Pop
"Nero - Dark Skies.mp3";Dark Skies;Nero;Electronic
"Kavinsky - Nightcall.mp3";Nightcall;Kavinsky;Electronic
"Baauer - GoGo!.mp3";GoGo!;Baauer;Electronic
"The Rolling Stones - Just Your Fool.mp3";Just Your Fool;The Rolling Stones;Blues
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;Blues
"Toto - Africa.mp3";Africa;Toto;Rock
"Sammy Johnson - Sleepwalker.mp3";Sleepwalker;Sammy Johnson;Reggae
"SZA - The Weekend.mp3";The Weekend;SZA;R&B/Soul
"Michael Kiwanuka - Cold Little Heart.mp3";Cold Little Heart;Michael Kiwanuka;R&B/Soul
"BTS - Outro- Her.mp3";Outro- Her;BTS;Pop
"It Was a Good Day - Ice Cube.mp3";Ice Cube;It Was a Good Day;Hip-hop- Rap
"Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul - Tek Weh Yuh Heart (Audio) ft.mp3";Sean Paul;Reggae
"Justice - D.A.N.C.E..mp3";D.A.N.C.E.;Justice;Electronic
"King of Rock - Run-DMC.mp3";Run-DMC;King of Rock;Hip-hop- Rap
"The Chainsmokers - Closer (feat. Halsey).mp3";Closer (feat. Halsey);The Chainsmokers;Electronic
"R.L. Burnside - Let My Baby Ride.mp3";Let My Baby Ride;R.L. Burnside;Blues
"Bob Marley, The Wailers - Stir It Up.mp3";Stir It Up;Bob Marley, The Wailers;Reggae
"Sean Paul - No Lie (feat. Dua Lipa).mp3";No Lie (feat. Dua Lipa);Sean Paul;Reggae
"Dave Brubeck - Take Five.mp3";Take Five;Dave Brubeck;Jazz
"Florida Georgia Line - God, Your Mama, And Me (feat. Backstreet Boys).mp3";God, Your Mama, And Me (feat. Backstreet Boys);Florida Georgia Line;Country
"Chris Brown - Questions.mp3";Questions;Chris Brown;R&B/Soul
"Herb Alpert - Route 101.mp3";Route 101;Herb Alpert;Jazz
"James Arthur - Say You Won't Let Go.mp3";Say You Won't Let Go;James Arthur;Pop
"Khalid - Another Sad Love Song.mp3";Another Sad Love Song;Khalid;R&B/Soul
"Ed Sheeran - Thinking Out Loud.mp3";Thinking Out Loud;Ed Sheeran;Pop
"BTS - DNA.mp3";DNA;BTS;Pop
"Joan Jett, The Blackhearts - I Love Rock 'N Roll.mp3";I Love Rock 'N Roll;Joan Jett, The Blackhearts;Rock
"The Weeknd - Party Monster.mp3";Party Monster;The Weeknd;R&B/Soul
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;R&B/Soul
"Inner Circle - Sweat (A La La La La Long).mp3";Sweat (A La La La La Long);Inner Circle;Reggae
"Kid Rock - All Summer Long.mp3";All Summer Long;Kid Rock;Rock
"Aaron Neville - Tell It Like It Is.mp3";Tell It Like It Is;Aaron Neville;Blues
"TWICE - LIKEY.mp3";LIKEY;TWICE;Pop
"Andy Grammer - Give Love (feat. LunchMoney Lewis).mp3";Give Love (feat. LunchMoney Lewis);Andy Grammer;Pop
"Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals).mp3";Back to You (feat. Bebe Rexha & Digital Farm Animals);Louis Tomlinson;Pop
"Labrinth - Misbehaving.mp3";Misbehaving;Labrinth;Pop
"Gin, Juice - Snoop Doggy Dogg.mp3";Snoop Doggy Dogg;Gin, Juice;Hip-hop- Rap
"Avicii - Levels.mp3";Levels;Avicii;Electronic
"Joe Bonamassa - Drive.mp3";Drive;Joe Bonamassa;Blues
"LL Cool J - Mama Said Knock You Out.mp3";Mama Said Knock You Out;LL Cool J;Hip-hop- Rap
"REZZ - Edge.mp3";Edge;REZZ;Electronic
"Joe Bonamassa - Get Back My Tomorrow (Live).mp3";Get Back My Tomorrow (Live);Joe Bonamassa;Blues
"Maroon 5 & Julia Michaels - Help Me Out.mp3";Help Me Out;Maroon 5 & Julia Michaels;Pop
"Kranium - We Can (feat. Tory Lanez).mp3";We Can (feat. Tory Lanez);Kranium;Reggae
"Justin Bieber, BloodPop - Friends.mp3";Friends;Justin Bieber, BloodPop®;Pop
"Jack U - Where Are U Now (feat. Justin Bieber).mp3";Where Are Ü Now (feat. Justin Bieber);Jack Ü;Electronic
"Daniel Caesar - Get You (feat. Kali Uchis).mp3";Get You (feat. Kali Uchis);Daniel Caesar;R&B/Soul
"Me Myself, I - De La Soul.mp3";De La Soul;Me Myself, I;Hip-hop- Rap
"Khalid - Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty].mp3";Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty];Khalid;R&B/Soul
"DJ Snake, Lil Jon - Turn Down For What.mp3";Turn Down For What;DJ Snake, Lil Jon;Electronic
"Lost Ones - Lauryn Hill.mp3";Lauryn Hill;Lost Ones;Hip-hop- Rap
"Ed Sheeran - Castle on the Hill.mp3";Castle on the Hill;Ed Sheeran;Pop
"Queen - We Will Rock You.mp3";We Will Rock You;Queen;Rock
"Nat King Cole, Natalie Cole - Unforgettable.mp3";Unforgettable;Nat King Cole, Natalie Cole;Jazz
"Inner Circle - Bad Boys (Theme from COPS).mp3";Bad Boys (Theme from COPS);Inner Circle;Reggae
"Jonathan Fritzen - Let It Go.mp3";Let It Go;Jonathan Fritzén;Jazz
"LL Cool J - Rock the Bells.mp3";Rock the Bells;LL Cool J;Hip-hop- Rap
"Shaggy - It Wasn't Me (feat. Ricardo Ducent).mp3";It Wasn't Me (feat. Ricardo Ducent);Shaggy;Reggae
"MAJOR. - Why I Love You.mp3";Why I Love You;MAJOR.;R&B/Soul
"Ruthie Foster - Lord Remember Me.mp3";Lord Remember Me;Ruthie Foster;Blues
"Afrika Bambaataa, the Soulsonic Force - Planet Rock.mp3";Planet Rock;Afrika Bambaataa, the Soulsonic Force;Hip-hop- Rap
"MAX - Lights Down Low (feat. gnash).mp3";Lights Down Low (feat. gnash);MAX;Pop
